Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C15H28,1733730.314,5.95574E-06,-0.005955737,-0.028603221
C18H34,1944283.039,2.70203E-05,-0.027020291,-0.107966265
C19H36,2208303.685,3.61977E-06,-0.003619766,-0.013696618
C20H38,2877401.909,1.31958E-05,-0.013195769,-0.04741608
C21H40,2255244.131,2.58257E-05,-0.025825676,-0.088349394
C22H42,2641516.686,1.81536E-05,-0.018153593,-0.059261819
C23H44,4096079.274,3.25316E-05,0.032531642,0.101552117
C24H46,3643954.71,2.06289E-05,-0.020628867,-0.061696585
C25H48,3272088.977,4.06777E-05,0.040677696,0.116763905
C26H50,4669633.758,4.57701E-05,0.045770139,0.126300341
C27H52,5592990.372,7.51237E-05,0.07512365,0.199580958
C28H54,4246428.828,1.80191E-05,0.018019106,0.046152831
C29H56,5298734.391,2.49308E-05,-0.024930809,-0.061643062
C30H58,6409001.774,7.22519E-05,0.072251883,0.172663922
C31H60,5523247.128,0.000117123,0.117123001,0.270823724
C32H62,7410071.993,0.000207678,0.207677924,0.465139598
C33H64,6637683.885,5.39743E-05,-0.053974264,-0.117207753
C34H66,8385337.1,0.000170304,0.170303511,0.358899065
C35H68,7618111.447,9.97963E-05,0.099796274,0.204277823
C36H70,7493135.132,8.85678E-05,-0.088567758,-0.176237497
C37H72,5184816.776,0.000103073,-0.103073055,-0.199536117
C38H74,6102893.726,8.78552E-05,0.087855185,0.165583591
C39H76,6007063.086,0.000124689,-0.124688932,-0.228957299
C40H78,6450350.318,0.000161637,0.161637425,0.289356301
C41H80,5631969.109,0.000147837,0.147837379,0.258174408
C42H82,5512544.439,0.000116829,0.116829259,0.199149274
C43H84,3890453.945,0.000192582,0.192581642,0.320618164
C44H86,3711340.881,6.07164E-05,0.060716356,0.098778311
C45H88,3550364.612,0.000195003,-0.195002667,-0.310173695
C46H90,3033515.086,9.95125E-05,0.099512549,0.154834123
C47H92,2654772.321,0.000150878,0.150877965,0.229744773
C48H94,3423764.251,1.50669E-05,0.01506692,0.02246328
C49H96,2517822.948,0.000255923,0.255922532,0.373745283
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C11H18,1855799.291,4.49138E-05,0.044913806,0.299144474
C12H20,2899841.573,5.92965E-05,0.059296524,0.361219466
C13H22,2792730.613,5.08913E-05,0.050891348,0.285630204
C14H24,4966496.901,1.9487E-05,0.019486981,0.101395514
C15H26,4612377.273,3.28261E-06,-0.003282614,-0.015919295
C16H28,4314520.979,2.03886E-05,-0.020388636,-0.092583415
C17H30,4530634.405,5.39878E-06,-0.005398782,-0.023048596
C18H32,5571536.865,1.07731E-05,-0.010773115,-0.043396164
C19H34,10148801.31,1.37072E-05,-0.013707196,-0.052264469
C20H36,9065517.559,8.3415E-06,0.008341504,0.030192025
C21H38,12466106.37,6.23644E-07,0.000623644,0.002148295
C22H40,6294282.901,7.00852E-05,-0.070085185,-0.230306247
C23H42,6566067.552,1.94418E-05,-0.019441752,-0.061074465
C24H44,8430763.019,9.33994E-05,-0.093399375,-0.281031974
C25H46,6939300.952,7.68182E-05,-0.076818189,-0.221787158
C26H48,12395693.05,9.15842E-05,0.091584159,0.254135293
C27H50,11610451.35,1.3366E-05,-0.013365986,-0.035700583
C28H52,13584158.8,8.62391E-05,0.08623909,0.222032846
C29H54,16632404.57,0.000117515,0.117515196,0.292019411
C30H56,14101237.75,7.09606E-05,0.070960578,0.170398819
C31H58,13649083.62,0.000177427,-0.17742668,-0.412185138
C32H60,18744740.6,0.000116366,0.116365748,0.261808172
C33H62,14169173.07,0.00020815,-0.208150356,-0.453995849
C34H64,17454237.31,6.9667E-05,-0.069666962,-0.147443055
C35H66,19042475.9,6.13642E-06,-0.006136422,-0.012612979
C36H68,15467212.31,9.72856E-06,-0.009728561,-0.019436438
C37H70,14629595.92,0.0001553,0.155300362,0.301819143
C38H72,14089126.11,7.40276E-05,-0.074027592,-0.140054327
C39H74,14768224.77,0.000109688,-0.10968791,-0.202160237
C40H76,14171794.25,0.000141754,0.141753805,0.254680479
C41H78,11424628.52,6.67927E-06,0.006679272,0.011705486
C42H80,10666854.8,0.000132693,-0.13269321,-0.226971105
C43H82,8449258.212,0.000113534,-0.113534168,-0.189652971
C44H84,9249265.882,7.04012E-05,0.070401202,0.114911227
C45H86,8884853.57,6.9911E-05,0.069911016,0.111559013
C46H88,7484285.854,0.000167052,0.167052327,0.260738721
C47H90,5872708.889,0.000155483,0.155483279,0.237486282
C48H92,5357555.437,4.83233E-05,0.048323293,0.072262382
C49H94,5498138.504,0.000176033,0.176032805,0.257834536
C50H96,4981273.757,5.7951E-05,-0.057951026,-0.083173198
C51H98,3545413.327,0.000190346,0.190345577,0.267803115
C52H100,4092248.306,0.000208039,-0.208038767,-0.287036133
C53H102,3814498.149,0.000185269,-0.185268796,-0.250770518
C54H104,3189074.288,0.00013803,0.138029905,0.183351985
C55H106,2978631.801,0.000231256,-0.231255628,-0.301573742
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C12H18,5417404.657,6.10021E-05,0.061002129,0.376229242
C13H20,7361152.012,5.38835E-05,0.053883533,0.30588444
C14H22,12892122.87,2.74566E-05,0.027456633,0.144377779
C15H24,7381061.878,3.87818E-08,3.87818E-05,0.000189932
C16H26,10178381.67,1.32349E-05,-0.01323485,-0.060653717
C17H28,9412338.2,1.07286E-05,-0.010728641,-0.046200513
C18H30,9685586.213,1.71285E-05,-0.017128462,-0.069561513
C19H32,11084035.58,3.66646E-05,-0.036664633,-0.140882137
C20H34,9800325.1,2.13941E-05,-0.021394065,-0.078004788
C21H36,12239815.87,1.21757E-06,-0.001217573,-0.004223552
C22H38,11222589.32,3.1543E-05,-0.03154299,-0.104344248
C23H40,13769265.02,1.78228E-05,-0.017822792,-0.05634543
C24H42,16493609.11,5.20792E-05,-0.052079222,-0.15765881
C25H44,19809309.36,3.06E-05,-0.030599968,-0.088864453
C26H46,26965971.14,3.70405E-05,0.037040467,0.103361067
C27H48,47432706.68,3.48852E-06,-0.003488521,-0.009368286
C28H50,57674693.22,5.07216E-06,-0.005072158,-0.013126999
C29H52,61970975.88,0.00011466,-0.114659789,-0.286358173
C30H54,95449444.5,0.00015759,0.157590022,0.380264108
C31H56,64269287.18,0.000108552,0.108551801,0.253366298
