Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C17H32,2079845.73,1.89404E-05,-0.018940372,-0.080170752
C18H34,2598236.259,1.40558E-05,-0.014055771,-0.056163314
C19H36,3509777.763,3.94984E-06,-0.003949839,-0.014945564
C20H38,3945485.565,1.3095E-05,0.013094991,0.047053957
C21H40,2732613.716,1.08313E-05,-0.010831306,-0.037053794
C22H42,3260678.66,1.08755E-05,0.010875501,0.035502721
C23H44,4401009.535,4.95382E-05,0.04953818,0.154640429
C24H46,4553322.937,2.92475E-07,0.000292475,0.00087473
C25H48,3655887.483,5.39734E-05,0.053973427,0.154928838
C26H50,4500180.865,7.26263E-05,0.072626261,0.200408427
C27H52,5792259.475,8.06357E-05,0.080635735,0.214224911
C28H54,5867631.349,1.13851E-05,0.011385089,0.029160941
C29H56,6365128.132,1.11207E-05,0.011120733,0.027496742
C30H58,7842310.134,0.000106438,0.106438172,0.254360597
C31H60,7535885.355,0.000105186,0.105186279,0.24322242
C32H62,6926563.547,0.000192781,0.192781403,0.431775619
C33H64,7830098.508,6.08529E-05,-0.060852933,-0.132145119
C34H66,7796119.65,0.000138389,0.138388942,0.291642031
C35H68,8241478.372,5.99986E-05,0.059998571,0.122813979
C36H70,6956873.169,0.00010432,-0.1043203,-0.20758286
C37H72,7093489.148,0.000132147,-0.132147242,-0.255819985
C38H74,7258104.659,8.03132E-05,0.080313213,0.151368986
C39H76,6212977.79,8.60706E-05,-0.08607062,-0.158045276
C40H78,6843569.114,0.000127174,0.127174245,0.227661813
C41H80,6283328.676,0.000126047,0.126047038,0.220121052
C42H82,6338273.035,0.00014773,0.147729521,0.251822421
C43H84,5100474.219,0.000124916,0.124916216,0.207965866
C44H86,4761609.926,3.91108E-05,0.03911078,0.063628601
C45H88,4522932.015,0.000135348,-0.135348262,-0.215286648
C46H90,3860675.689,0.000189114,0.189114222,0.294247659
C47H92,2889286.876,0.000204166,0.204165737,0.310887086
C48H94,2649656.205,4.28093E-05,0.042809257,0.063824344
C49H96,2871568.236,0.000282468,0.282467923,0.412511758
C50H98,3351563.429,1.99462E-05,0.019946204,0.028544863
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C11H18,2506597.367,1.84473E-05,0.018447341,0.122866901
C12H20,3712449.865,2.9289E-05,0.029289036,0.178421419
C13H22,3525701.636,1.58794E-05,0.015879389,0.089123854
C14H24,6328030.109,9.54512E-06,-0.009545119,-0.049665581
C15H26,6160846.1,9.83855E-06,-0.009838552,-0.047712839
C16H28,5076938.17,2.4303E-05,-0.024302954,-0.110358065
C17H30,5018673.46,1.17517E-05,-0.011751705,-0.050170629
C18H32,6785591.773,3.39324E-06,-0.003393245,-0.013668638
C19H34,11559927.85,9.46319E-06,-0.009463185,-0.036082387
C20H36,11751298.13,1.89714E-05,0.018971438,0.06866701
C21H38,15305843.66,2.30688E-06,-0.00230688,-0.00794661
C22H40,8191170.89,2.21151E-05,-0.022115069,-0.072672112
C23H42,8462692.627,7.83102E-06,0.00783102,0.024600425
C24H44,9291736.497,6.95775E-05,-0.06957753,-0.209353762
C25H46,9735417.553,4.06334E-05,-0.040633361,-0.117315414
C26H48,14197922.21,9.16313E-05,0.091631298,0.254266098
C27H50,11335142.69,1.37674E-05,0.013767377,0.0367727
C28H52,13303826.46,0.000103465,0.103465209,0.26638355
