Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C28H54,2070277.752,0.000107145,0.107145011,0.274433457
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C21H38,2079843.682,1.34082E-05,0.013408234,0.046187931
C22H40,1897462.676,2.93841E-06,0.002938406,0.009655867
C23H42,2281665.44,2.36843E-05,0.02368429,0.074402004
C24H44,2173621.702,6.97922E-06,0.006979224,0.02099998
C26H48,2648543.147,1.827E-05,0.018270007,0.050697126
C27H50,2245751.887,2.34929E-06,-0.002349295,-0.006274972
C28H52,2918446.64,3.74302E-05,0.037430226,0.096368593
C29H54,3003593.968,4.18801E-05,0.041880132,0.104070043
C30H56,2705657.89,4.69689E-05,0.046968861,0.11278711
C32H60,2407460.756,5.27823E-05,0.052782264,0.118753398
C33H62,2926706.272,3.73992E-05,-0.037399202,-0.08157124
C34H64,2030206.724,1.9003E-05,-0.019003001,-0.040217923
C35H66,2229203.263,3.87832E-05,-0.038783238,-0.079716191
C36H68,2191002.642,2.05412E-05,0.020541216,0.041038759
C38H72,2247500.466,3.54016E-05,0.0354016,0.066977018
C40H76,2211691.594,2.62457E-05,0.026245675,0.047154015
C42H80,2454717.947,7.04055E-05,-0.070405513,-0.120428295
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C12H18,1881976.664,5.12439E-06,-0.005124391,-0.031604568
C14H22,1644718.093,2.64591E-05,-0.026459081,-0.13913226
C16H26,2331631.963,1.24578E-05,-0.012457793,-0.057092557
C17H28,2268406.822,8.76536E-06,-0.008765363,-0.037746091
C18H30,2315027.036,8.49026E-06,-0.008490257,-0.034480337
C19H32,3373249.788,7.73491E-06,-0.007734907,-0.029721018
C20H34,2647907.148,9.20794E-06,-0.009207943,-0.033573031
C21H36,4236807.279,9.11752E-07,-0.000911752,-0.003162713
C22H38,2101149.053,8.8341E-06,-0.008834097,-0.029223204
C23H40,3628453.611,1.79248E-05,0.017924847,0.05666807
C24H42,4172740.93,1.07181E-05,0.010718081,0.032446718
C25H44,4292335.413,1.16449E-05,0.011644875,0.033817534
C26H46,5536130.775,3.4193E-05,0.034193022,0.095415299
C27H48,7553847.418,1.85519E-05,0.01855186,0.04982029
C28H50,7075224.295,2.98837E-05,0.029883669,0.077340439
C29H52,8970872.63,1.8238E-05,-0.018238028,-0.045548736
C30H54,10205466.74,6.18316E-05,0.061831623,0.149199464
C31H56,7668870.757,5.26921E-05,0.052692146,0.122986574
C32H58,7793799.599,1.43092E-05,0.014309248,0.032340657
C33H60,7305497.335,2.36687E-05,-0.023668738,-0.05185174
C34H62,8589216.494,2.56267E-05,0.02562665,0.054468563
C35H64,7628538.055,2.40249E-05,-0.024024862,-0.049586837
C36H66,5225783.294,1.91835E-05,0.019183485,0.038481147
C37H68,4713824.907,4.41305E-05,0.044130489,0.086102877
C38H70,4413195.629,2.72528E-05,0.027252809,0.051757526
C39H72,4658486.496,4.0213E-06,-0.004021296,-0.007439083
C40H74,4902328.406,2.41259E-06,0.002412594,0.004350316
C41H76,3423789.766,6.14945E-05,-0.061494513,-0.108151752
C42H78,3626315.6,6.84244E-05,-0.068424374,-0.117444487
C43H80,2627873.255,4.95438E-05,0.049543754,0.083039883
C44H82,2286232.623,1.82555E-05,0.018255486,0.029895579
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
