Sample,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,"(0, 2, 0, 0, 0)","(4, 2, 0, 0, 0)","(6, 4, 0, 0, 0)","(0, -2, 0, 1, 0)","(0, -2, 0, 2, 0)","(0, 0, 0, 1, 0)","(0, 0, 0, 0, 1)","(0, 1, 1, 0, 0)","(-1, -1, 1, 0, 0)","(-2, -1, 1, 0, 0)","(-2, -2, 0, 1, 0)","(5, 8, 0, 0, 0)","(2, 0, 0, 0, 1)","(2, 2, 0, 0, 0)","(4, 8, 0, 0, 0)","(2, 0, 0, 0, 0)","(-2, -2, 0, 0, 1)","(2, 1, 1, 0, 0)","(2, 0, 0, 1, 0)","(3, 2, 0, 0, 0)","(0, -1, 0, 0, 0)","(3, 6, 0, 0, 0)","(-1, 1, -1, 0, 0)"
19208,S2,DCM,iPrOH,S2_DCM,S2_ipa,S2_DCM_ipa,0.00261974,0.010594203,0.01013742,0.001315395,0.001885095,0.001619308,0.009173573,0.010850266,0.001542437,0.010608225,0.010322873,0.001954842,0.001880675,0.010393289,0.009840319,0.010416141,0.001519839,0.00171351,0.001757639,0.01144504,0.027983999,0.010569389,0.001905126
19209,S2,DCM,acetone,S2_DCM,S2_ace,S2_DCM_ace,0.00101101,0.000965612,0.001127007,0.000982967,0.001362906,0.001159477,0.000896161,0.000972989,0.001054804,0.001188999,0.000986272,0.001000951,0.001123441,0.000989996,0.000933518,0.000995552,0.001008542,0.000961662,0.000979763,0.001067489,0.000978865,0.000996684,0.0010133
19210,S2,DCM,acetone,S2_DCM,S2_ace,S2_DCM_ace,0.00170399,0.001817192,0.001893938,0.002069618,0.00176699,0.001818239,0.001758842,0.001637552,0.001680836,0.001748974,0.001831494,0.001672338,0.001880709,0.001463316,0.00140695,0.002169132,0.001417411,0.001629281,0.001859727,0.001913576,0.002014674,0.00174781,0.001591811
19211,S2,DCM,AcOH,S2_DCM,S2_AcOH,S2_DCM_AcOH,0.015785014,0.003903551,0.020105275,0.002840509,0.014541188,0.015114079,0.002652116,0.0026187,0.017591195,0.002226751,0.00339122,0.015271198,0.015277546,0.015832242,0.027025466,0.015061393,0.028841294,0.002587848,0.002603517,0.003432913,0.002310083,0.016415641,0.003252192
19212,S2,DCM,acetone,S2_DCM,S2_ace,S2_DCM_ace,0.001182987,0.001041045,0.001218198,0.001132266,0.001465129,0.001362662,0.001195136,0.001337478,0.001267923,0.001103636,0.001077856,0.00130758,0.001022118,0.001143252,0.001336412,0.001224752,0.001056481,0.001373643,0.001304895,0.001127974,0.001431213,0.001144617,0.001164958
19213,S2,toluene,iPrOH,S2_tol,S2_ipa,S2_tol_ipa,0.000714779,0.000590427,0.000733865,0.000695502,0.000703531,0.000677648,0.000624193,0.000642836,0.000703945,0.000670369,0.000674466,0.000572122,0.000584063,0.00070849,0.000616883,0.000651152,0.000671223,0.000682393,0.000734054,0.000572461,0.000818372,0.00056445,0.000671087
19214,S2,toluene,iPrOH,S2_tol,S2_ipa,S2_tol_ipa,0.000660721,0.000575649,0.000702627,0.000670556,0.000786125,0.000735441,0.000694707,0.00073473,0.000652062,0.000658143,0.000733929,0.000737171,0.000658253,0.000645259,0.000588436,0.000703053,0.000671123,0.000684195,0.000811589,0.000690743,0.000796462,0.000597904,0.000688554
19215,S2,toluene,iPrOH,S2_tol,S2_ipa,S2_tol_ipa,0.000702281,0.000682421,0.000821832,0.000689105,0.000775116,0.000806906,0.000681487,0.000725017,0.00065796,0.000799285,0.000760819,0.000726533,0.000684747,0.00068375,0.000745877,0.000640565,0.00070011,0.000742388,0.000735607,0.000692852,0.000727575,0.000710949,0.000636404
19216,S2,toluene,acetone,S2_tol,S2_ace,S2_tol_ace,0.000590096,0.000665468,0.000756673,0.000656436,0.000753772,0.000731872,0.000656576,0.000788694,0.00069577,0.000668311,0.000713948,0.000644562,0.000640755,0.000674949,0.000525198,0.000679259,0.000597425,0.000735803,0.000724142,0.000602887,0.000651441,0.000566902,0.000818598
19217,S2,toluene,AcOH,S2_tol,S2_AcOH,S2_tol_AcOH,0.001699238,0.001546546,0.001751337,0.001515044,0.001290242,0.001584232,0.001278476,0.001548668,0.00142472,0.001655847,0.001495072,0.001288408,0.001470371,0.001823121,0.001313976,0.00126815,0.001378455,0.001791631,0.001747669,0.001361367,0.001600542,0.00143209,0.002071947
