label,location,loc1_vall,loc2_vall,loc3_vall,loc4_vall,loc5_vall,season,spring,summer,fall,winter,after_storm,land_use,developed,agriculture,forest,"(50, 50, 50, 50, 50)","(6, 10, 0, 5, 0)","(6, 8, 0, 4, 0)","(1, 2, 0, 1, 0)","(8, 11, 1, 2, 0)","(1, 2, 0, 0, 0)","(2, 2, 0, 1, 0)","(2, 4, 0, 1, 0)","(3, 6, 0, 1, 0)","(8, 8, 0, 0, 0)","(10, 8, 0, 4, 0)","(5, 8, 0, 0, 0)","(1, 0, 0, 2, 0)","(0, 2, 0, 1, 0)","(0, 3, 1, 0, 0)","(0, 2, 0, 0, 1)","(0, 2, 0, 0, 0)","(0, -2, 0, 1, 0)","(0, -2, 0, 2, 0)","(0, 0, 0, 1, 0)","(0, 1, 1, 0, 0)","(0, 0, 0, 0, 1)","(9, 8, 0, 2, 0)","(6, 4, 0, 1, 0)","(9, 10, 0, 3, 0)","(7, 2, 0, 3, 0)","(6, 4, 0, 3, 0)","(7, 6, 0, 2, 0)","(8, 8, 0, 3, 0)","(0, 0, 0, 3, 1)","(0, -2, 0, 2, 1)"
DOM_1,1,1,0,0,0,0,4,0,0,0,1,0,1,1,0,0,0.057527819,0.069325913,0.059411756,0.041862802,0.05396776,0.034454996,0.04964088,0.054419278,0.057650025,0.056838598,0.060579793,0.055127057,0.056749316,0.038565923,0.070239289,0.05906395,0.024000475,0.034889125,0.047925408,0.035859872,0.083517825,0.059737656,0.064114841,0.056771554,0.059210917,0.061484189,0.058845276,0.063547855,0.062992982,0.064066202,0.060567077
DOM_2,1,1,0,0,0,0,4,0,0,0,1,1,1,1,0,0,0.049439534,0.051782919,0.055031667,0.053953585,0.053334184,0.046644922,0.05042109,0.051370131,0.059863839,0.052602389,0.053449966,0.050868256,0.05707146,0.038327643,0.050832344,0.055254629,0.041065486,0.045356967,0.057175591,0.038974438,0.050651537,0.054250881,0.049938553,0.05857344,0.049945781,0.050341994,0.052773686,0.049836425,0.055694382,0.055894742,0.058733619
DOM_3,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0.161812371,0.158330323,0.215677398,0.217390318,0.161680827,0.253686556,0.177849419,0.220473807,0.193213722,0.165862646,0.156497502,0.165268855,0.240885663,0.188720317,0.195214395,0.259374573,0.331449459,0.225831804,0.176087777,0.194300273,0.162717226,0.222183739,0.212151497,0.219048593,0.195051992,0.198609179,0.256429354,0.192689322,0.192827477,0.202784967,0.159407038
DOM_4,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0.24559677,0.248112869,0.424191802,0.330154707,0.26591386,0.314339219,0.289960972,0.344570925,0.285530897,0.249716202,0.319497081,0.254997395,0.305331588,0.328138677,0.258290401,0.328486211,0.299723675,0.28859764,0.362897389,0.291880444,0.25319121,0.356115619,0.271319547,0.272116727,0.426990796,0.290611462,0.415391471,0.299427624,0.306863508,0.41587625,0.250772854
DOM_5,1,1,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0.050353381,0.050061441,0.048172153,0.036062016,0.047497739,0.032134083,0.0454018,0.047100941,0.050995471,0.049302211,0.052378426,0.050145003,0.043350378,0.033278753,0.051898001,0.05664344,0.02437717,0.032762158,0.04193268,0.03097107,0.059310236,0.049177916,0.048131267,0.05669008,0.048975157,0.048503499,0.044297029,0.048918215,0.047888291,0.049531886,0.050786429
DOM_6,1,1,0,0,0,0,2,0,1,0,0,1,1,1,0,0,0.028709124,0.028802396,0.029029379,0.021201043,0.032473405,0.013766139,0.0278791,0.030857693,0.032676684,0.027678382,0.030166609,0.027910324,0.031253674,0.016732787,0.027008184,0.029741148,0.004976311,0.015386138,0.025155797,0.013830269,0.025063105,0.027924826,0.029566568,0.032471286,0.030785232,0.02884162,0.025583421,0.030088168,0.028512728,0.029558817,0.031955897
DOM_7,1,1,0,0,0,0,3,0,0,1,0,1,1,1,0,0,0.087381923,0.088622213,0.092635854,0.109020491,0.093245841,0.111647367,0.086146731,0.284461646,0.094785126,0.088848159,0.087193967,0.089626252,0.09908162,0.091083101,0.10220368,0.108978099,0.089253034,0.097664872,0.153613202,0.105171055,0.088940323,0.135000137,0.093780044,0.090043839,0.098204644,0.093483427,0.09620585,0.258165938,0.110713014,0.145579828,0.090186018
DOM_8,1,1,0,0,0,0,3,0,0,1,0,0,1,1,0,0,0.05106323,0.050289968,0.059202023,0.039755949,0.053478065,0.030944799,0.054470051,0.046992268,0.059073491,0.051124819,0.0485712,0.050547672,0.049401792,0.034821408,0.05749153,0.060239388,0.023813214,0.032524123,0.050423613,0.03159724,0.136739223,0.06885558,0.060686113,0.050484495,0.047617092,0.066269153,0.049678728,0.046283776,0.048375217,0.051145391,0.055181189
DOM_9,2,0,1,0,0,0,4,0,0,0,1,0,3,0,0,1,0.062010896,0.073861137,0.07957843,0.055261223,0.070083265,0.058562755,0.061859166,0.064111009,0.069438718,0.063359612,0.082820813,0.067130745,0.083857806,0.065293328,0.083754197,0.111137101,0.079616467,0.065189348,0.084598481,0.076610859,0.070294653,0.084430863,0.066716167,0.069578485,0.065205273,0.069037509,0.074505972,0.071026281,0.071538008,0.073351756,0.066999376
DOM_10,2,0,1,0,0,0,4,0,0,0,1,1,3,0,0,1,0.047227565,0.062386682,0.057795564,0.032910484,0.052693034,0.024529679,0.040698844,0.044715887,0.047656908,0.052513727,0.055478402,0.047739861,0.046115757,0.031371147,0.047783284,0.047981316,0.013452684,0.024733087,0.037317053,0.024589268,0.053275517,0.051108804,0.054957562,0.0486524,0.055277912,0.04627084,0.051213037,0.047638585,0.052790964,0.052463854,0.052086248
