Name,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,"(0, 2, 0, 0, 0)","(4, 2, 0, 0, 0)","(6, 4, 0, 0, 0)","(1, 2, 0, 0, 0)","(0, -2, 0, 1, 0)","(0, -2, 0, 2, 0)","(0, 0, 0, 1, 0)","(0, 0, 0, 0, 1)","(0, 1, 1, 0, 0)","(-1, -1, 1, 0, 0)","(-2, -1, 1, 0, 0)","(-2, -2, 0, 1, 0)","(5, 8, 0, 0, 0)","(2, 0, 0, 0, 1)","(2, 2, 0, 0, 0)","(4, 8, 0, 0, 0)","(2, 0, 0, 0, 0)","(-2, -2, 0, 0, 1)","(2, 1, 1, 0, 0)","(2, 0, 0, 1, 0)","(3, 2, 0, 0, 0)","(3, 6, 0, 0, 0)","(-1, 1, -1, 0, 0)"
19243,L1,toluene,AcOH,L1_tol,L1_AcOH,L1_tol_AcOH,0.006250526,0.010244053,0.013745186,0.003501897,0.008788069,0.012397238,0.011616838,0.012940354,0.01215365,0.012924225,0.014279783,0.012285336,0.008632133,0.015337094,0.006134813,0.004958874,0.012108592,0.013997012,0.012312614,0.013653275,0.011175825,0.003630133,0.013268718
19242,L1,toluene,AcOH,L1_tol,L1_AcOH,L1_tol_AcOH,0.006619348,0.011210105,0.008967504,0.003669177,0.009398412,0.136066567,0.013838371,0.014078744,0.011329588,0.01084678,0.011614017,0.011618786,0.010433761,0.009308051,0.006822188,0.005502182,0.012403737,0.013192518,0.015140757,0.012993651,0.011115866,0.003635384,0.015346568
19241,L1,toluene,acetone,L1_tol,L1_ace,L1_tol_ace,0.005881224,0.006366114,0.008852439,0.002644753,0.007372542,0.008431296,0.008841841,0.010612012,0.008786819,0.011379504,0.011347705,0.00992028,0.007938669,0.007703043,0.005409951,0.005006172,0.010751518,0.009477289,0.010158649,0.00941887,0.013353244,0.004385008,0.008952469
19240,L1,toluene,acetone,L1_tol,L1_ace,L1_tol_ace,0.004154113,0.008708796,0.007847436,0.001845507,0.009682993,0.012201234,0.007985216,0.010854497,0.00926749,0.008906455,0.007777871,0.009034346,0.00638606,0.007843771,0.0055736,0.003718213,0.008525261,0.007050227,0.008689475,0.007792554,0.009135408,0.002837665,0.010502374
19239,L1,toluene,iPrOH,L1_tol,L1_ipa,L1_tol_ipa,0.034005422,0.033870963,0.036773255,0.023266832,0.044831198,0.051261911,0.04418049,0.045888274,0.050992342,0.053583735,0.048863917,0.043083928,0.037907524,0.036057212,0.03831217,0.02633368,0.037062774,0.044113482,0.045762213,0.049164835,0.040192524,0.023117877,0.056272428
19238,L1,toluene,AcOH,L1_tol,L1_AcOH,L1_tol_AcOH,0.003999022,0.008115118,0.008742915,0.002060421,0.007488468,0.009872022,0.00676106,0.007917113,0.008518921,0.009050368,0.008803358,0.010205154,0.00475955,0.006097051,0.004557578,0.003938309,0.00828845,0.006934443,0.00792367,0.007839461,0.009534926,0.003208573,0.008658305
19237,L1,toluene,acetone,L1_tol,L1_ace,L1_tol_ace,0.004308587,0.006495249,0.007407091,0.001655448,0.006457238,0.007690143,0.008170371,0.007559441,0.008931922,0.009522005,0.009778978,0.008533827,0.005775896,0.006753432,0.004954556,0.002844531,0.007516059,0.007602247,0.007686863,0.007021384,0.007784826,0.002307218,0.008277549
19236,L1,toluene,iPrOH,L1_tol,L1_ipa,L1_tol_ipa,0.004506154,0.009400403,0.007434453,0.00195953,0.00814982,0.008586416,0.007910593,0.008645119,0.009953673,0.008443386,0.007594084,0.01073376,0.006725453,0.006336278,0.004949341,0.004259232,0.010235558,0.009031492,0.008164203,0.009309558,0.010828837,0.003507141,0.007567408
19235,L1,toluene,iPrOH,L1_tol,L1_ipa,L1_tol_ipa,0.004236347,0.007126451,0.007940134,0.001729894,0.007939263,0.008930293,0.007670554,0.00834276,0.008556798,0.007051275,0.008759387,0.009078912,0.005790876,0.005831688,0.00397668,0.004310637,0.007530602,0.007381159,0.007951211,0.007760786,0.008115813,0.002715172,0.012476893
19234,L1,DCM,iPrOH,L1_DCM,L1_ipa,L1_DCM_ipa,0.004825435,0.009318161,0.007944261,0.001697714,0.007344061,0.011167017,0.006953319,0.009970381,0.008347452,0.011408151,0.00985253,0.007903622,0.006081007,0.006592884,0.005188967,0.003689007,0.008186545,0.009005364,0.009960003,0.009001098,0.008800774,0.004595203,0.008020035
