Name,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,HC,HC•,N2•,N3•,N4S2•,NOS•,NO•,NS2•,NS3•,NS•,N•,O,O2,O2•,OS2•,OS•,O•,S,S2•,S3•,S4•,S•
19243,L1,toluene,AcOH,L1_tol,L1_AcOH,L1_tol_AcOH,0.0575628,0.3317353,0,0,0,0,0,0,0,0.0138411,0.0442321,0.0006051,0,0,0,0.0186049,0.0322773,0.0385626,0.1260925,0.0261535,0,0.3103329
19242,L1,toluene,AcOH,L1_tol,L1_AcOH,L1_tol_AcOH,0.0623841,0.3366902,0,0,0,0,0,0,0,0.011954,0.0432981,0.0008149,0,0,0,0.0173533,0.0315407,0.0403333,0.1226249,0.0246882,0,0.3083183
19241,L1,toluene,acetone,L1_tol,L1_ace,L1_tol_ace,0.056663,0.3252951,0,0,0,0,0,0,0,0.0164074,0.0514295,0.0006344,0,0,0,0.0195531,0.0325929,0.0375936,0.1255963,0.0283773,0,0.3058573
19240,L1,toluene,acetone,L1_tol,L1_ace,L1_tol_ace,0.0601375,0.3255343,0,0,0,0,0,0,0,0.0157369,0.0483174,0.0007546,0,0,0,0.019877,0.0336742,0.0391035,0.1262263,0.0285232,0,0.3021151
19239,L1,toluene,iPrOH,L1_tol,L1_ipa,L1_tol_ipa,0.0507596,0.3330979,0,0,0,0,0,0,0,0.0117835,0.0598283,0.0015706,0.0001422,0,0,0,0.0195966,0.0317605,0.1323704,0.0215422,0,0.3375483
19238,L1,toluene,AcOH,L1_tol,L1_AcOH,L1_tol_AcOH,0.061747,0.3280811,0,0,0,0,0,0,0,0.0128446,0.0407492,0.0009338,0,0,0,0.018861,0.0331162,0.0405602,0.1292966,0.0297897,0,0.3040206
19237,L1,toluene,acetone,L1_tol,L1_ace,L1_tol_ace,0.0625106,0.3236351,0,0,0,0,0,0,0,0.0145214,0.0440548,0.0011663,0,0,0,0.018867,0.0337459,0.040282,0.1301838,0.0308113,0,0.3002219
19236,L1,toluene,iPrOH,L1_tol,L1_ipa,L1_tol_ipa,0.0641324,0.3241612,0,0,0,0,0,0,0,0.0144584,0.0438802,0.0011117,0,0,0,0.0186536,0.03419,0.0406448,0.1272635,0.02808,0,0.3034242
19235,L1,toluene,iPrOH,L1_tol,L1_ipa,L1_tol_ipa,0.0620351,0.3237127,0,0,0,0,0,0,0,0.0152754,0.0471007,0.0011261,0,0,0,0.0202303,0.0345375,0.0398712,0.127858,0.0291496,0,0.2991033
19234,L1,DCM,iPrOH,L1_DCM,L1_ipa,L1_DCM_ipa,0.0624507,0.3264291,0,0,0,0,0,0,0,0.0153506,0.047177,0.0011276,0,0,0,0.0193867,0.0333761,0.0399481,0.1262113,0.0280534,0,0.3004895
19233,L1,DCM,AcOH,L1_DCM,L1_AcOH,L1_DCM_AcOH,0.0540027,0.3279602,0,0,0,0,0,0,0,0.0149948,0.0461337,0.0007909,0,0,0,0.0172472,0.0315501,0.0382129,0.1288548,0.0282168,0,0.312036
