Formula,Mono Inty
C12H18O2,0.1718673
C14H22O2,0.1878911
C15H24O2,0.0927013
C16H26O2,0.086919
C17H28O2,0.1383747
C18H30O2,0.2375564
C19H32O2,0.0796352
C20H34O2,0.2203427
C21H36O2,0.0778348
C12H16O2,0.2799918
C15H22O2,0.6553796
C16H24O2,0.1994587
C17H26O2,0.1398884
C18H28O2,0.1298275
C19H30O2,0.2388902
C20H32O2,0.9607956
C21H34O2,0.0916342
C12H14O2,0.3047366
C15H20O2,0.2302053
C16H22O2,0.2469051
C17H24O2,0.2445337
C18H26O2,0.2600634
C19H28O2,0.3105378
C20H30O2,4.3262
C22H34O2,0.0974458
C29H48O2,0.1128407
C30H50O2,0.818671
C12H12O2,0.2033937
C15H18O2,0.2363305
C16H20O2,0.2996106
C17H22O2,0.2442595
C18H24O2,0.3390217
C19H26O2,0.2401282
C20H28O2,8.1830111
C21H30O2,0.1216044
C29H46O2,0.1464842
C30H48O2,0.3363402
C12H10O2,0.1089053
C15H16O2,0.1819747
C16H18O2,0.1381134
C17H20O2,0.2102777
C18H22O2,0.2046776
C19H24O2,0.2176297
C20H26O2,0.616629
C21H28O2,0.1301233
C22H30O2,0.1115703
C30H46O2,1.0753714
C15H14O2,0.1655502
C16H16O2,0.1535851
C17H18O2,0.1193326
C18H20O2,0.1412336
C19H22O2,0.1144364
C20H24O2,0.1054145
C30H44O2,0.0886034
C13H8O2,0.226248
C15H12O2,0.1065168
C16H14O2,0.1527147
C17H16O2,0.1046753
C18H18O2,0.1079983
C22H26O2,0.0934606
C23H28O2,0.0778016
C16H32O3,0.9462627
C18H36O3,0.2332763
C20H40O3,0.9587781
C21H42O3,0.1177342
C22H44O3,4.4012589
C23H46O3,0.1263265
C24H48O3,1.3171644
C25H50O3,0.1076549
C26H52O3,0.2029118
C16H30O3,0.1255073
C17H32O3,0.3120727
C18H34O3,14.5381041
C20H38O3,0.9278313
C22H42O3,0.285938
C10H16O3,0.1500909
C11H18O3,0.1065965
C13H22O3,0.1036407
C15H26O3,0.1006712
C16H28O3,0.81541
C18H32O3,0.8665484
C19H34O3,0.1702423
C20H36O3,0.3088359
C22H40O3,0.1924609
C11H16O3,0.2486913
C13H20O3,0.2583195
C14H22O3,0.2699568
C15H24O3,0.2503602
