Formula,Mono Inty
C13H16O,0.0902121
C14H18O,0.085192
C15H20O,0.1393794
C16H22O,0.087186
C17H24O,0.1120574
C12H16O2,0.2039309
C13H18O2,0.2366399
C14H20O2,0.2696505
C15H22O2,0.2435952
C16H24O2,0.100766
C12H14O2,0.2876056
C13H16O2,0.2934685
C14H18O2,0.3732242
C15H20O2,0.2077474
C16H22O2,0.2391597
C17H24O2,0.1691665
C18H26O2,0.123763
C12H12O2,0.1711081
C13H14O2,0.2777987
C14H16O2,0.3151624
C15H18O2,0.3140373
C16H20O2,0.4012633
C17H22O2,0.261253
C18H24O2,0.265083
C19H26O2,0.1164094
C20H28O2,0.1602229
C13H12O2,0.2480799
C14H14O2,0.215796
C15H16O2,0.2514396
C16H18O2,0.2054348
C17H20O2,0.2725033
C18H22O2,0.2442426
C19H24O2,0.1978355
C20H26O2,0.1677348
C21H28O2,0.1201022
C13H10O2,0.1519575
C14H12O2,0.1802138
C15H14O2,0.2933629
C16H16O2,0.19512
C17H18O2,0.1750237
C18H20O2,0.1868868
C19H22O2,0.1320789
C20H24O2,0.1054646
C13H8O2,0.1372858
C14H10O2,0.1537768
C15H12O2,0.1731885
C16H14O2,0.1708709
C17H16O2,0.1047546
C18H18O2,0.176228
C19H20O2,0.1393591
C20H22O2,0.0934983
C15H10O2,0.1058797
C16H12O2,0.0881464
C17H14O2,0.0965336
C18H16O2,0.0896424
C11H16O3,0.1468677
C12H18O3,0.0990203
C13H20O3,0.1636437
C14H22O3,0.1123656
C15H24O3,0.0977398
C16H26O3,0.0988103
C11H14O3,0.2958467
C12H16O3,0.3002658
C13H18O3,0.4249672
C14H20O3,0.3440202
C15H22O3,0.4518097
C16H24O3,0.2058681
C17H26O3,0.1860613
C18H28O3,0.1109398
C19H30O3,0.1063042
C11H12O3,0.2836209
C12H14O3,0.3581722
C13H16O3,0.5504823
C14H18O3,0.5938783
C15H20O3,0.5731183
C16H22O3,0.4331436
C17H24O3,0.3107571
C18H26O3,0.3558265
C19H28O3,0.2522378
C20H30O3,0.1470777
C11H10O3,0.2580369
C12H12O3,0.3268588
C13H14O3,0.4641244
C14H16O3,0.4621878
C15H18O3,0.6116306
C16H20O3,0.6229699
C17H22O3,0.5926999
C18H24O3,0.4527258
C19H26O3,0.4327388
C20H28O3,0.2825971
C21H30O3,0.1848669
C22H32O3,0.0921153
C11H8O3,0.1557862
C12H10O3,0.2773834
C13H12O3,0.3509054
C14H14O3,0.4930991
C15H16O3,0.5036502
C16H18O3,0.4434117
C17H20O3,0.6532927
C18H22O3,0.5303302
C19H24O3,0.5476519
C20H26O3,0.3895529
C21H28O3,0.2644567
C22H30O3,0.198383
C23H32O3,0.0879694
C12H8O3,0.1366266
C13H10O3,0.2771251
C14H12O3,0.2644266
C15H14O3,0.247571
C16H16O3,0.3852925
C17H18O3,0.4717751
C18H20O3,0.4542055
C19H22O3,0.6358511
C20H24O3,0.3093059
C21H26O3,0.23028
C22H28O3,0.1457762
C23H30O3,0.1065359
C13H8O3,0.1857246
C14H10O3,0.286263
C15H12O3,0.2514069
C16H14O3,0.2299944
C17H16O3,0.2496621
C18H18O3,0.2185182
C19H20O3,0.2715115
C20H22O3,0.2486181
C21H24O3,0.1879628
C22H26O3,0.184741
C14H8O3,0.1250924
C15H10O3,0.1639889
C16H12O3,0.187031
C17H14O3,0.1627447
C18H16O3,0.1678241
C19H18O3,0.1532458
C20H20O3,0.1745889
C21H22O3,0.1244462
C22H24O3,0.1430314
C23H26O3,0.0871065
C26H32O3,0.1410711
C15H8O3,0.0975698
C16H10O3,0.171514
C17H12O3,0.1434752
C18H14O3,0.1136936
C19H16O3,0.0997073
C20H18O3,0.1027967
C21H20O3,0.1124709
C10H14O4,0.1959515
C11H16O4,0.1807629
C12H18O4,0.2933934
C13H20O4,0.2968867
C14H22O4,0.2697536
C15H24O4,0.2555075
C16H26O4,0.1070787
C17H28O4,0.0957456
C18H30O4,0.081411
C10H12O4,0.2977436
C11H14O4,0.3385163
C12H16O4,0.5303653
C13H18O4,0.4442026
C14H20O4,0.5244343
C15H22O4,0.6682842
C16H24O4,0.4595668
C17H26O4,0.3481991
C18H28O4,0.2400552
C19H30O4,0.1785194
C20H32O4,0.1787299
C10H10O4,0.3019268
C11H12O4,0.40331
C12H14O4,0.6968377
C13H16O4,0.7023329
C14H18O4,1.0354882
C15H20O4,0.9399704
C16H22O4,1.1103778
C17H24O4,0.8599463
C18H26O4,0.8152943
C19H28O4,0.5655216
C20H30O4,0.4376134
C21H32O4,0.1380591
C10H8O4,0.2762481
C11H10O4,0.2991491
C12H12O4,0.5608385
C13H14O4,0.6580175
C14H16O4,0.8850972
C15H18O4,0.9925074
C16H20O4,1.068383
C17H22O4,1.2880279
C18H24O4,1.2947872
C19H26O4,1.0587871
C20H28O4,0.808583
C21H30O4,0.393915
C22H32O4,0.156344
C23H34O4,0.0981861
C10H6O4,0.1883058
C11H8O4,0.3022933
C12H10O4,0.4325964
C13H12O4,0.4714663
C14H14O4,0.6293048
C15H16O4,0.7487726
C16H18O4,0.9440964
C17H20O4,0.9314427
C18H22O4,1.164245
C19H24O4,1.1819645
C20H26O4,0.9774632
C21H28O4,0.6425698
C22H30O4,0.1987283
C23H32O4,0.1718266
C24H34O4,0.0843337
C25H36O4,0.0835191
C11H6O4,0.1094868
C12H8O4,0.2497526
C13H10O4,0.3495985
C14H12O4,0.4396797
C15H14O4,0.4256602
C16H16O4,0.7733405
C17H18O4,0.7534044
C18H20O4,0.9511709
C19H22O4,1.000066
C20H24O4,0.9270607
C21H26O4,0.6378572
C22H28O4,0.2744543
C23H30O4,0.1730706
C24H32O4,0.1547133
C12H6O4,0.124136
C13H8O4,0.2407399
C14H10O4,0.2339796
C15H12O4,0.3221143
C16H14O4,0.4536252
C17H16O4,0.5248069
C18H18O4,0.7213562
C19H20O4,0.591275
C20H22O4,0.6665242
C21H24O4,0.4028842
C22H26O4,0.3374066
C23H28O4,0.1287212
C24H30O4,0.1315696
C25H32O4,0.0951489
C26H34O4,0.0936027
C14H8O4,0.1665611
C15H10O4,0.2835128
C16H12O4,0.2682659
C17H14O4,0.3018104
C18H16O4,0.3250563
C19H18O4,0.322423
C20H20O4,0.3112137
C21H22O4,0.3628712
C22H24O4,0.2545192
C23H26O4,0.0934228
C24H28O4,0.1214543
C15H8O4,0.1414642
C16H10O4,0.2292762
C17H12O4,0.2308323
C18H14O4,0.1923098
C19H16O4,0.1882347
C20H18O4,0.1990497
C21H20O4,0.2409653
C22H22O4,0.1293358
C25H28O4,0.1004329
C16H8O4,0.1152198
C17H10O4,0.1807507
C18H12O4,0.236416
C19H14O4,0.169496
C20H16O4,0.1239239
C21H18O4,0.1577857
C18H10O4,0.1249548
C19H12O4,0.1402721
C20H14O4,0.1281502
C21H16O4,0.0920269
C22H18O4,0.0905228
C10H16O5,0.0974153
C11H18O5,0.1356609
C12H20O5,0.1285107
C14H24O5,0.1281483
C15H26O5,0.1121374
C10H14O5,0.2468785
C11H16O5,0.3026053
C12H18O5,0.2923185
C13H20O5,0.3818644
C14H22O5,0.4334927
C15H24O5,0.5556364
C16H26O5,0.373812
C17H28O5,0.2020316
C18H30O5,0.1817294
C10H12O5,0.3574401
C11H14O5,0.5838518
C12H16O5,0.6119221
C13H18O5,0.8173998
C14H20O5,1.0875074
C15H22O5,1.23009
C16H24O5,0.9344543
C17H26O5,0.8104491
C18H28O5,0.6055105
C19H30O5,0.431948
C20H32O5,0.2639067
C10H10O5,0.3675895
C11H12O5,0.6394559
C12H14O5,0.6911645
C13H16O5,0.9958912
C14H18O5,1.6164864
C15H20O5,1.8607984
C16H22O5,1.5919807
