Formula,Mono Inty
C13H18O2,0.2156882
C15H22O2,0.481416
C17H26O2,0.1284283
C18H28O2,0.0948741
C19H30O2,0.1299575
C20H32O2,0.4223585
C15H20O2,0.1693726
C16H22O2,0.1330279
C17H24O2,0.1748896
C18H26O2,0.1895642
C19H28O2,0.1779399
C20H30O2,1.7005266
C30H50O2,0.3011543
C14H16O2,0.1923911
C15H18O2,0.3169229
C16H20O2,0.1710191
C17H22O2,0.2230747
C18H24O2,0.2781607
C19H26O2,0.1580764
C20H28O2,3.2378483
C21H30O2,0.1069655
C30H48O2,0.1163789
C14H14O2,0.0892676
C15H16O2,0.2022392
C16H18O2,0.0919347
C17H20O2,0.2222531
C18H22O2,0.2788947
C19H24O2,0.2051841
C20H26O2,0.3245886
C21H28O2,0.1219095
C30H46O2,1.0198352
C14H12O2,0.0940377
C15H14O2,0.2136391
C18H20O2,0.1401363
C19H22O2,0.1116156
C20H24O2,0.1281978
C22H28O2,0.0952122
C18H32O3,0.3088781
C19H34O3,0.0947356
C20H36O3,0.1208949
C13H20O3,0.1822167
C15H24O3,0.1206071
C16H26O3,0.1912134
C17H28O3,0.1465551
C18H30O3,1.5036238
C19H32O3,0.1128133
C20H34O3,0.3719691
C12H16O3,0.3032629
C13H18O3,0.5689481
C14H20O3,0.4295814
C15H22O3,0.2718855
C16H24O3,0.2863697
C17H26O3,0.2973697
C18H28O3,0.3884606
C19H30O3,0.3668621
C20H32O3,0.9676467
C21H34O3,0.1421974
C30H52O3,0.1392715
C12H14O3,0.4117647
C13H16O3,0.3168626
C14H18O3,0.6185485
C15H20O3,0.2881345
C16H22O3,0.405379
C17H24O3,0.4283061
C18H26O3,0.4855918
C19H28O3,0.4418025
C20H30O3,0.8379165
C21H32O3,0.2828771
C22H34O3,0.0905151
C27H44O3,0.0800983
C29H48O3,0.1760106
C30H50O3,0.2339436
C35H60O3,0.0865572
C13H14O3,0.3314629
C14H16O3,0.3744068
C15H18O3,0.2440391
C16H20O3,0.4915825
C17H22O3,0.5138562
C18H24O3,0.4555919
C19H26O3,0.522225
C20H28O3,1.6219944
C21H30O3,0.3263294
C22H32O3,0.1675184
C30H48O3,4.8591967
C13H12O3,0.2476573
C14H14O3,0.3731605
C15H16O3,0.2926632
C16H18O3,0.4339665
C17H20O3,0.5415432
C18H22O3,0.3989656
C19H24O3,0.5239046
C20H26O3,0.8613299
C21H28O3,0.2971129
C22H30O3,0.1613039
C23H32O3,0.0983109
C30H46O3,0.7170789
C14H12O3,0.3153099
C15H14O3,0.0780873
