Formula,Mono Inty
C15H20O2,0.2685089
C16H22O2,0.2467948
C17H24O2,0.198821
C18H26O2,0.1444477
C19H28O2,0.0991939
C20H30O2,0.0930075
C16H20O2,0.336651
C17H22O2,0.2799743
C18H24O2,0.2951159
C19H26O2,0.1550974
C20H28O2,0.277849
C16H18O2,0.2215491
C17H20O2,0.2561815
C18H22O2,0.22745
C19H24O2,0.2104371
C20H26O2,0.1617147
C21H28O2,0.1209253
C22H30O2,0.1090547
C16H16O2,0.171817
C17H18O2,0.2275844
C18H20O2,0.1504839
C19H22O2,0.1558652
C20H24O2,0.1222079
C21H26O2,0.1046203
C22H28O2,0.0872768
C16H14O2,0.1720774
C17H16O2,0.1152408
C18H18O2,0.1474631
C19H20O2,0.0856735
C20H22O2,0.086957
C21H24O2,0.0936899
C23H28O2,0.095892
C16H12O2,0.1751964
C17H14O2,0.1401161
C18H16O2,0.1002166
C19H18O2,0.0956082
C14H22O3,0.1975619
C15H24O3,0.2005045
C16H26O3,0.1380671
C17H28O3,0.0904431
C14H20O3,0.4502257
C15H22O3,0.5237416
C16H24O3,0.304891
C17H26O3,0.2426852
C18H28O3,0.176076
C19H30O3,0.1417284
C14H18O3,0.6042727
C15H20O3,0.6145537
C16H22O3,0.3989314
C17H24O3,0.3828422
C18H26O3,0.4069759
C19H28O3,0.326969
C20H30O3,0.2148211
C21H32O3,0.1456182
C14H16O3,0.5148599
C15H18O3,0.609175
C16H20O3,0.5571548
C17H22O3,0.5375333
C18H24O3,0.4249749
C19H26O3,0.457322
C20H28O3,0.4028706
C21H30O3,0.1968073
C22H32O3,0.1405269
C14H14O3,0.5247506
C15H16O3,0.5435781
C16H18O3,0.4407548
C17H20O3,0.6291382
C18H22O3,0.4664855
C19H24O3,0.5465807
C20H26O3,0.4450055
C21H28O3,0.3197615
C22H30O3,0.1933496
C23H32O3,0.1047224
C14H12O3,0.3651549
C15H14O3,0.3194441
C16H16O3,0.3601452
C17H18O3,0.4176134
C18H20O3,0.4233396
C19H22O3,0.5132267
C20H24O3,0.4004126
C21H26O3,0.3556414
C22H28O3,0.1901554
C23H30O3,0.1305541
C15H12O3,0.3334226
C16H14O3,0.310775
C17H16O3,0.2666792
C18H18O3,0.2729873
C19H20O3,0.2837023
C20H22O3,0.2896399
C21H24O3,0.2196601
C22H26O3,0.2164233
C23H28O3,0.1056992
C15H10O3,0.3257623
C16H12O3,0.2692678
C17H14O3,0.3149387
C18H16O3,0.2086583
C19H18O3,0.2120156
C20H20O3,0.1760111
C21H22O3,0.1372257
C22H24O3,0.1684266
C15H8O3,0.154245
C16H10O3,0.2482696
C17H12O3,0.2690544
C18H14O3,0.1974579
C19H16O3,0.1553513
C20H18O3,0.1835075
C21H20O3,0.1070437
C22H22O3,0.1228806
C23H24O3,0.0923464
C16H8O3,0.1034253
C17H10O3,0.1545662
C18H12O3,0.1950796
C19H14O3,0.1782186
C20H16O3,0.1634852
C21H18O3,0.0806512
C22H20O3,0.0842697
C18H10O3,0.0879479
C19H12O3,0.0980184
C20H14O3,0.1165393
C21H16O3,0.1124794
C22H18O3,0.0832089
C13H22O4,0.1148175
C14H24O4,0.1472665
C15H26O4,0.1275049
C16H28O4,0.1128488
C13H20O4,0.455822
C14H22O4,0.4573007
C15H24O4,0.5681979
C16H26O4,0.2426406
C17H28O4,0.1843176
C18H30O4,0.154862
C19H32O4,0.105977
C13H18O4,0.714923
C14H20O4,0.8225458
C15H22O4,1.1814016
C16H24O4,0.5843548
C17H26O4,0.4989378
C18H28O4,0.4142609
C19H30O4,0.3731409
C20H32O4,0.3219997
C21H34O4,0.1151495
C13H16O4,0.8316905
C14H18O4,1.2161684
C15H20O4,1.139197
C16H22O4,1.0842549
C17H24O4,0.9165037
C18H26O4,0.9683462
C19H28O4,0.7217864
C20H30O4,0.744083
C21H32O4,0.2044168
C22H34O4,0.1432441
C13H14O4,0.8424057
C14H16O4,1.0052801
C15H18O4,0.9964162
C16H20O4,1.0077337
C17H22O4,1.1637238
C18H24O4,1.3890215
C19H26O4,1.0269169
C20H28O4,0.9177291
C21H30O4,0.5243975
C22H32O4,0.1884568
C23H34O4,0.1058657
C24H36O4,0.097538
C13H12O4,0.6283844
C14H14O4,0.7341666
C15H16O4,0.7491345
C16H18O4,0.8482561
C17H20O4,0.8641577
C18H22O4,1.1061468
C19H24O4,1.1755877
C20H26O4,0.9811524
C21H28O4,0.7365827
C22H30O4,0.2284486
C23H32O4,0.2051
C24H34O4,0.1382456
C25H36O4,0.0883845
C26H38O4,0.1050052
C13H10O4,0.6377299
C14H12O4,0.695093
C15H14O4,0.509514
C16H16O4,0.7938498
C17H18O4,0.6727926
C18H20O4,0.8702363
C19H22O4,0.8672876
C20H24O4,0.8998744
C21H26O4,0.6449942
C22H28O4,0.3090016
C23H30O4,0.2090359
C24H32O4,0.1615084
C25H34O4,0.1373605
C27H38O4,0.0987268
C14H10O4,0.4306999
C15H12O4,0.5508355
C16H14O4,0.576322
C17H16O4,0.5791377
C18H18O4,0.7436652
C19H20O4,0.5760951
C20H22O4,0.6648672
C21H24O4,0.4670784
C22H26O4,0.3639138
C23H28O4,0.1329791
C24H30O4,0.1649517
C25H32O4,0.1295482
C27H36O4,0.0805162
C14H8O4,0.3332743
C15H10O4,0.4404837
C16H12O4,0.5132159
C17H14O4,0.469083
C18H16O4,0.4205594
C19H18O4,0.419925
C20H20O4,0.4035977
C21H22O4,0.3955889
C22H24O4,0.2448365
C23H26O4,0.1125157
C25H30O4,0.0883796
C26H32O4,0.0779322
C27H34O4,0.0804939
C15H8O4,0.2856722
C16H10O4,0.4380859
C17H12O4,0.4199548
C18H14O4,0.3064948
C19H16O4,0.3311344
C20H18O4,0.246207
C21H20O4,0.2888301
C22H22O4,0.1395844
C23H24O4,0.087422
C16H8O4,0.2039227
C17H10O4,0.3439159
C18H12O4,0.3438337
C19H14O4,0.3758327
C20H16O4,0.2592902
C21H18O4,0.2838556
C22H20O4,0.1186233
C23H22O4,0.0855152
C17H8O4,0.1310689
C18H10O4,0.2344202
C19H12O4,0.3314538
C20H14O4,0.2484178
C21H16O4,0.209843
C22H18O4,0.1469263
C18H8O4,0.0865504
C19H10O4,0.1813118
C20H12O4,0.20628
C21H14O4,0.1875486
C22H16O4,0.1837093
C20H10O4,0.1166357
C21H12O4,0.1681249
C22H14O4,0.1143688
C25H20O4,0.1034989
C21H10O4,0.0834052
