Formula,Mono Inty
C13H16O,0.107576
C14H18O,0.1324144
C15H20O,0.1125762
C16H22O,0.1072859
C14H16O,0.1039442
C15H18O,0.1075444
C16H20O,0.0744317
C18H24O,0.0738762
C12H18O2,0.1756499
C13H20O2,0.1100694
C14H22O2,0.1274606
C15H24O2,0.0963676
C11H14O2,0.0718784
C12H16O2,0.3026157
C13H18O2,0.2357605
C14H20O2,0.2688173
C15H22O2,0.2483241
C16H24O2,0.1030502
C17H26O2,0.0821241
C20H32O2,0.0743014
C12H14O2,0.3285865
C13H16O2,0.278149
C14H18O2,0.3147944
C15H20O2,0.2236726
C16H22O2,0.2406223
C17H24O2,0.1941892
C18H26O2,0.1122862
C20H30O2,0.106403
C12H12O2,0.1966355
C13H14O2,0.2685661
C14H16O2,0.3514049
C15H18O2,0.315644
C16H20O2,0.2788278
C17H22O2,0.2122429
C18H24O2,0.2379204
C19H26O2,0.1249196
C20H28O2,0.280462
C12H10O2,0.1364709
C13H12O2,0.3066424
C14H14O2,0.2639803
C15H16O2,0.2508512
C16H18O2,0.1749891
C17H20O2,0.2341335
C18H22O2,0.1874152
C19H24O2,0.1712773
C20H26O2,0.1291181
C21H28O2,0.0959046
C13H10O2,0.1883807
C14H12O2,0.259545
C15H14O2,0.2218422
C16H16O2,0.1457273
C17H18O2,0.1798985
C18H20O2,0.1512593
C19H22O2,0.1258506
C20H24O2,0.1110649
C21H26O2,0.0756941
C13H8O2,0.2318475
C14H10O2,0.2290431
C15H12O2,0.2836069
C16H14O2,0.1568531
C17H16O2,0.1107542
C18H18O2,0.1175078
C19H20O2,0.071571
C20H22O2,0.0748233
C14H8O2,0.0970027
C15H10O2,0.2386252
C16H12O2,0.1418216
C17H14O2,0.1510079
C18H16O2,0.0775449
C19H18O2,0.0786062
C10H14O3,0.0971241
C11H16O3,0.295778
C12H18O3,0.2540561
C13H20O3,0.2583924
C14H22O3,0.1763405
C15H24O3,0.2107254
C16H26O3,0.0927471
C11H14O3,0.398903
C12H16O3,0.3917577
C13H18O3,0.565281
C14H20O3,0.3843424
C15H22O3,0.4209076
C16H24O3,0.2385899
C17H26O3,0.192969
C18H28O3,0.1692441
C19H30O3,0.1367144
C20H32O3,0.088011
C11H12O3,0.4748008
C12H14O3,0.4790182
C13H16O3,0.6161601
C14H18O3,0.4829054
C15H20O3,0.5635599
C16H22O3,0.4061245
C17H24O3,0.3227571
C18H26O3,0.3714547
C19H28O3,0.3106509
C20H30O3,0.2052054
C21H32O3,0.0918137
C22H34O3,0.0816446
C11H10O3,0.6740009
C12H12O3,0.4990667
C13H14O3,0.5185676
C14H16O3,0.4239858
C15H18O3,0.502129
C16H20O3,0.46668
C17H22O3,0.4760248
C18H24O3,0.3776868
C19H26O3,0.3655761
C20H28O3,0.3345882
C21H30O3,0.1424688
C22H32O3,0.1400887
C11H8O3,0.3432196
C12H10O3,0.4729866
C13H12O3,0.5595767
C14H14O3,0.4623459
C15H16O3,0.4943283
C16H18O3,0.3672751
C17H20O3,0.5083073
C18H22O3,0.3998402
C19H24O3,0.4281286
C20H26O3,0.3512818
C21H28O3,0.2348669
C22H30O3,0.156875
C11H6O3,0.1241025
C12H8O3,0.3033139
C13H10O3,0.4534506
C14H12O3,0.4028151
C15H14O3,0.2731786
C16H16O3,0.3222944
C17H18O3,0.3721219
C18H20O3,0.351471
C19H22O3,0.3716157
C20H24O3,0.2805169
C21H26O3,0.2329211
C22H28O3,0.1284403
C23H30O3,0.1081502
C12H6O3,0.0821516
C13H8O3,0.4262322
C14H10O3,0.6261061
C15H12O3,0.3103357
C16H14O3,0.3111208
C17H16O3,0.2887347
C18H18O3,0.2446398
C19H20O3,0.2575285
C20H22O3,0.1644379
C21H24O3,0.1746185
C22H26O3,0.1545415
C23H28O3,0.0858533
C14H8O3,0.3121268
C15H10O3,0.3985059
C16H12O3,0.33324
C17H14O3,0.2918105
C18H16O3,0.2230952
C19H18O3,0.1490127
C20H20O3,0.1540848
C21H22O3,0.1581884
C22H24O3,0.1349221
C15H8O3,0.2084105
C16H10O3,0.3077951
C17H12O3,0.2935093
C18H14O3,0.2035603
C19H16O3,0.1428701
C20H18O3,0.1182165
C21H20O3,0.1091329
C22H22O3,0.1121876
C17H10O3,0.2193551
C18H12O3,0.1810667
C19H14O3,0.1860723
C20H16O3,0.1315573
C21H18O3,0.0925231
C18H10O3,0.1098595
C19H12O3,0.1129616
C20H14O3,0.1510285
C21H16O3,0.1021369
C22H18O3,0.0751527
C10H16O4,0.3874647
C11H18O4,0.2666729
C12H20O4,0.1902116
C13H22O4,0.0989065
C14H24O4,0.1211466
C15H26O4,0.122202
C10H14O4,0.4635464
C11H16O4,0.4833981
C12H18O4,0.565738
C13H20O4,0.3870763
C14H22O4,0.404664
C15H24O4,0.4698393
C16H26O4,0.2343998
C17H28O4,0.1790013
C18H30O4,0.1345916
C19H32O4,0.1340529
C20H34O4,0.0859362
C10H12O4,0.4973487
C11H14O4,0.5824614
C12H16O4,0.7317985
C13H18O4,0.6344252
C14H20O4,0.6808258
C15H22O4,0.8693965
C16H24O4,0.4733825
C17H26O4,0.4017807
C18H28O4,0.3382748
C19H30O4,0.3133471
C20H32O4,0.3086354
C21H34O4,0.0862642
C10H10O4,0.5702477
C11H12O4,0.6365969
C12H14O4,0.9449927
C13H16O4,0.7279766
C14H18O4,1.0217097
C15H20O4,0.9941593
C16H22O4,0.9152508
C17H24O4,0.7912461
C18H26O4,0.8513757
C19H28O4,0.6015472
C20H30O4,0.7204465
C21H32O4,0.2067163
C22H34O4,0.1131944
C10H8O4,0.7288373
C11H10O4,0.7259094
C12H12O4,1.0239469
C13H14O4,0.7381272
C14H16O4,0.8503897
C15H18O4,0.8572676
C16H20O4,0.7619736
C17H22O4,1.0325248
C18H24O4,1.0917041
C19H26O4,0.8984669
C20H28O4,0.8021349
C21H30O4,0.4068987
C22H32O4,0.2099625
C23H34O4,0.1018722
C24H36O4,0.0928829
C30H48O4,0.0733017
C10H6O4,0.5321456
C11H8O4,0.7376661
C12H10O4,1.0280409
C13H12O4,0.6799687
C14H14O4,0.7210993
C15H16O4,0.6876279
C16H18O4,0.7129325
C17H20O4,0.7234028
C18H22O4,0.9045057
C19H24O4,0.950279
C20H26O4,0.8088272
C21H28O4,0.5927107
C22H30O4,0.222089
C23H32O4,0.1605359
C24H34O4,0.1236461
C25H36O4,0.0755424
C27H40O4,0.0884795
C28H42O4,0.084512
C29H44O4,0.0797976
C11H6O4,0.3012976
C12H8O4,0.7011052
C13H10O4,0.781102
C14H12O4,0.7772653
C15H14O4,0.5884376
C16H16O4,0.6961386
C17H18O4,0.5419214
C18H20O4,0.7651484
C19H22O4,0.6956918
C20H24O4,0.7089729
C21H26O4,0.4874884
C22H28O4,0.2276442
C23H30O4,0.1452257
C24H32O4,0.1043184
C25H34O4,0.0878853
C26H36O4,0.0842468
C27H38O4,0.0773842
C28H40O4,0.074972
C12H6O4,0.3498301
C13H8O4,0.5460441
C14H10O4,0.5060858
C15H12O4,0.6041196
C16H14O4,0.640212
C17H16O4,0.5361467
C18H18O4,0.6256752
C19H20O4,0.4651197
C20H22O4,0.4767026
C21H24O4,0.3019404
C22H26O4,0.2332836
C23H28O4,0.1050661
C24H30O4,0.1092146
C25H32O4,0.0784411
C27H36O4,0.0838127
C13H6O4,0.1010148
C14H8O4,0.4319953
C15H10O4,0.6740408
C16H12O4,0.5704196
C17H14O4,0.466231
C18H16O4,0.3880239
C19H18O4,0.3711313
C20H20O4,0.2970085
C21H22O4,0.2994379
C22H24O4,0.1714415
C24H28O4,0.0828069
C25H30O4,0.0732404
C27H34O4,0.0927394
C14H6O4,0.1623655
C15H8O4,0.3090628
C16H10O4,0.5670995
C17H12O4,0.4686005
C18H14O4,0.338374
C19H16O4,0.3228437
C20H18O4,0.2602262
C21H20O4,0.2425871
C22H22O4,0.131823
C23H24O4,0.0770174
C16H8O4,0.2675957
C17H10O4,0.4176244
C18H12O4,0.3923625
C19H14O4,0.4014924
C20H16O4,0.2400477
C21H18O4,0.2232475
C22H20O4,0.0935239
C17H8O4,0.1214221
C18H10O4,0.2807895
C19H12O4,0.3597589
C20H14O4,0.2568938
C21H16O4,0.1877522
C22H18O4,0.1478333
C18H8O4,0.0940651
C19H10O4,0.1949991
C20H12O4,0.2456216
C21H14O4,0.1927732
C22H16O4,0.1306076
C23H18O4,0.0730129
C19H8O4,0.093276
C20H10O4,0.1501471
C21H12O4,0.1624992
C22H14O4,0.0960513
C21H10O4,0.0745636
C22H12O4,0.0949679
C23H14O4,0.0728471
C25H18O4,0.0827677
C28H18O4,0.0755811
C30H22O4,0.0863394
C31H24O4,0.1154124
C32H26O4,0.0955
C33H28O4,0.081388
C10H18O5,0.242125
C11H20O5,0.1263032
C12H22O5,0.0985828
C13H24O5,0.0768774
C10H16O5,0.4322987
C11H18O5,0.3970808
C12H20O5,0.3900868
C13H22O5,0.231547
C14H24O5,0.2359221
C15H26O5,0.2322201
C16H28O5,0.1654278
C17H30O5,0.1180054
C18H32O5,0.0813266
C10H14O5,0.6997259
C11H16O5,0.7646502
C12H18O5,0.6386889
C13H20O5,0.8214278
C14H22O5,0.7728325
C15H24O5,0.8221986
C16H26O5,0.5831222
C17H28O5,0.3415707
C18H30O5,0.2383824
C19H32O5,0.1362237
C20H34O5,0.1100706
C10H12O5,0.657083
C11H14O5,1.2671863
C12H16O5,1.0317308
C13H18O5,1.2634598
C14H20O5,1.4525594
C15H22O5,1.5413284
C16H24O5,1.1496713
C17H26O5,0.9704751
C18H28O5,0.7331163
C19H30O5,0.6236702
C20H32O5,0.4164639
C21H34O5,0.1157443
C22H36O5,0.1025977
C10H10O5,0.7458865
C11H12O5,1.0715607
C12H14O5,1.0277604
C13H16O5,1.12783
C14H18O5,1.7056284
C15H20O5,1.8044665
C16H22O5,1.5520015
C17H24O5,1.6637723
C18H26O5,1.5258088
C19H28O5,1.743281
C20H30O5,0.7672203
C21H32O5,0.3247454
C22H34O5,0.2098451
C23H36O5,0.2026089
C24H38O5,0.1395093
C26H42O5,0.0825651
C27H44O5,0.1024684
C28H46O5,0.0874692
C29H48O5,0.1078254
C10H8O5,0.8593659
C11H10O5,1.4751221
C12H12O5,1.1101087
C13H14O5,1.4269791
C14H16O5,1.3722043
C15H18O5,1.7501112
C16H20O5,1.7198575
C17H22O5,2.0676701
C18H24O5,1.9884562
C19H26O5,2.413826
C20H28O5,1.0686021
C21H30O5,0.6400106
C22H32O5,0.2937827
C23H34O5,0.2686972
C24H36O5,0.2999651
C25H38O5,0.1965963
C26H40O5,0.1288088
C27H42O5,0.1726069
C28H44O5,0.1297006
C29H46O5,0.1714568
C30H48O5,0.1473044
C10H6O5,0.7309233
C11H8O5,1.388402
C12H10O5,1.2023134
C13H12O5,1.2811171
C14H14O5,1.1311318
C15H16O5,1.203657
C16H18O5,1.50928
C17H20O5,1.7430609
C18H22O5,1.916539
C19H24O5,2.043855
C20H26O5,1.7078714
C21H28O5,0.7321131
C22H30O5,0.4789385
C23H32O5,0.3185886
C24H34O5,0.3671842
C25H36O5,0.2454414
C26H38O5,0.1963542
C27H40O5,0.203986
C28H42O5,0.1948027
C29H44O5,0.2414755
C30H46O5,0.1320109
C11H6O5,0.6554995
C12H8O5,0.8460723
C13H10O5,1.1894517
C14H12O5,1.065118
C15H14O5,0.9782099
C16H16O5,0.9579519
C17H18O5,1.1961071
C18H20O5,1.4031494
C19H22O5,1.456971
C20H24O5,1.4121834
C21H26O5,0.5256299
C22H28O5,0.5110142
C23H30O5,0.3682083
C24H32O5,0.3768712
C25H34O5,0.3119833
C26H36O5,0.2152018
C27H38O5,0.178998
C28H40O5,0.1589447
C29H42O5,0.1680868
C30H44O5,0.1319369
C12H6O5,0.5024361
C13H8O5,0.9256759
C14H10O5,0.8666484
C15H12O5,1.1239002
C16H14O5,0.8654996
C17H16O5,1.0109735
C18H18O5,0.99208
C19H20O5,1.0095787
C20H22O5,0.7987766
C21H24O5,0.4358246
C22H26O5,0.3402291
C23H28O5,0.2906444
C24H30O5,0.2843475
C25H32O5,0.2670584
C26H34O5,0.2016797
C27H36O5,0.1515223
C28H38O5,0.1211656
C29H40O5,0.1196817
C13H6O5,0.1792116
C14H8O5,0.7751751
C15H10O5,1.0980598
C16H12O5,0.9644381
C17H14O5,1.0322402
C18H16O5,0.8588626
C19H18O5,0.7235774
C20H20O5,0.5088695
C21H22O5,0.417536
C22H24O5,0.1944708
C23H26O5,0.2586334
C24H28O5,0.1822908
C25H30O5,0.1705284
C26H32O5,0.1451737
C27H34O5,0.1111158
C28H36O5,0.1307198
C29H38O5,0.0753903
C14H6O5,0.2487155
C15H8O5,0.6387617
C16H10O5,0.7938701
C17H12O5,0.7919371
C18H14O5,0.764491
C19H16O5,0.5970651
C20H18O5,0.5057296
C21H20O5,0.3174759
C22H22O5,0.1135262
C23H24O5,0.1220575
C24H26O5,0.1354245
C25H28O5,0.1167279
C26H30O5,0.1347528
C27H32O5,0.0881292
C39H56O5,0.0908559
C15H6O5,0.2973533
C16H8O5,0.489535
C17H10O5,0.5633597
C18H12O5,0.6935221
C19H14O5,0.5587127
C20H16O5,0.6530521
C21H18O5,0.2573634
C22H20O5,0.1416659
C23H22O5,0.0890253
C24H24O5,0.1044836
C17H8O5,0.3269251
C18H10O5,0.5320928
C19H12O5,0.5180907
C20H14O5,0.5479701
C21H16O5,0.2340175
C22H18O5,0.1823279
C23H20O5,0.1056338
C27H28O5,0.0847974
C17H6O5,0.0750146
C18H8O5,0.2739935
C19H10O5,0.3592283
C20H12O5,0.4656066
C21H14O5,0.348151
C22H16O5,0.1649009
C23H18O5,0.0992519
C24H20O5,0.0817696
C25H22O5,0.0909683
C19H8O5,0.1496425
C20H10O5,0.2986147
C21H12O5,0.3089173
C22H14O5,0.1061335
C23H16O5,0.1345078
C24H18O5,0.1057001
C20H8O5,0.0996611
C21H10O5,0.1813651
C22H12O5,0.1303422
C23H14O5,0.13538
C24H16O5,0.1359697
C25H18O5,0.0855003
C22H10O5,0.0845471
C23H12O5,0.0738474
C24H14O5,0.1206911
C25H16O5,0.0773391
C27H20O5,0.0717229
C29H24O5,0.0709788
C25H14O5,0.0964168
C26H16O5,0.0797043
C27H18O5,0.0908857
C28H20O5,0.0759892
C29H22O5,0.0731009
C30H24O5,0.1297249
C31H26O5,0.1112538
C26H14O5,0.1005881
C27H16O5,0.0754506
C30H22O5,0.1680146
C31H24O5,0.1602078
C32H26O5,0.1262698
C33H28O5,0.1169502
C11H20O6,0.1044005
C12H22O6,0.0719585
C13H24O6,0.0995533
C14H26O6,0.0757167
C15H28O6,0.1311183
