Formula,Mono Inty
C14H18O,0.1930721
C15H20O,0.1241063
C16H22O,0.1393141
C17H24O,0.1262436
C19H28O,0.0929681
C13H14O,0.0721339
C14H16O,0.1402176
C15H18O,0.1117492
C16H20O,0.0992373
C17H22O,0.0737711
C14H14O,0.1149351
C15H16O,0.1124483
C16H18O,0.1067564
C18H22O,0.0748831
C12H18O2,0.2711871
C13H20O2,0.1895342
C14H22O2,0.2041925
C15H24O2,0.0855793
C16H26O2,0.0940781
C18H30O2,0.0828752
C11H14O2,0.1873401
C12H16O2,0.3898906
C13H18O2,0.3684974
C14H20O2,0.4323548
C15H22O2,0.3969683
C16H24O2,0.1655837
C17H26O2,0.1059351
C18H28O2,0.08611
C20H32O2,0.2070219
C13H16O2,0.3917797
C14H18O2,0.523889
C15H20O2,0.2690765
C16H22O2,0.2863252
C17H24O2,0.2381261
C18H26O2,0.2035359
C19H28O2,0.1787075
C20H30O2,0.5143273
C13H14O2,0.2984489
C14H16O2,0.3790536
C15H18O2,0.339288
C16H20O2,0.3987318
C17H22O2,0.3135395
C18H24O2,0.3622031
C19H26O2,0.1944808
C20H28O2,1.1226761
C21H30O2,0.0734665
C22H32O2,0.0950072
C13H12O2,0.2416688
C14H14O2,0.2934066
C15H16O2,0.3852041
C16H18O2,0.1899809
C17H20O2,0.2897897
C18H22O2,0.27258
C19H24O2,0.2213356
C20H26O2,0.230426
C21H28O2,0.0977864
C22H30O2,0.0841034
C23H32O2,0.0733021
C30H46O2,1.2589382
C13H10O2,0.1971366
C14H12O2,0.1935453
C15H14O2,0.2522869
C16H16O2,0.1906628
C17H18O2,0.2049938
C18H20O2,0.1857066
C19H22O2,0.1537791
C20H24O2,0.1467791
C21H26O2,0.1166397
C22H28O2,0.0896915
C13H8O2,0.1927287
C14H10O2,0.1959122
C15H12O2,0.2111545
C16H14O2,0.1683318
C17H16O2,0.1281038
C18H18O2,0.1247609
C11H18O3,0.2452277
C12H20O3,0.2118574
C13H22O3,0.1925915
C14H24O3,0.1078067
C15H26O3,0.0870453
C10H14O3,0.3021835
C11H16O3,0.4680093
C12H18O3,0.4137743
C13H20O3,0.4816501
C14H22O3,0.3905684
C15H24O3,0.4309829
C16H26O3,0.1620338
C17H28O3,0.0857447
C18H30O3,0.1572186
C11H14O3,0.6303658
C12H16O3,0.5184007
C13H18O3,0.8533739
C14H20O3,0.6778869
C15H22O3,0.9338003
C16H24O3,0.377814
C17H26O3,0.3100602
C18H28O3,0.2472461
C19H30O3,0.2266817
C20H32O3,0.2247194
C11H12O3,0.5611947
C12H14O3,0.7317842
C13H16O3,0.8899654
C14H18O3,0.8756552
C15H20O3,0.9120173
C16H22O3,0.5296423
C17H24O3,0.4854522
C18H26O3,0.5446839
C19H28O3,0.4270825
C20H30O3,0.340408
C21H32O3,0.2039594
C22H34O3,0.0705784
C11H10O3,0.5735291
C12H12O3,0.5194473
C13H14O3,0.6818368
C14H16O3,0.5949937
C15H18O3,0.7149647
C16H20O3,0.5735933
C17H22O3,0.6296887
C18H24O3,0.5242699
C19H26O3,0.5149003
C20H28O3,0.6044093
C21H30O3,0.2600451
C22H32O3,0.156927
C23H34O3,0.0817961
C30H48O3,1.1508875
C12H10O3,0.365916
C13H12O3,0.4963073
C14H14O3,0.5484573
C15H16O3,0.5629874
C16H18O3,0.4539632
C17H20O3,0.6096019
C18H22O3,0.4767322
C19H24O3,0.7168816
C20H26O3,0.5806112
C21H28O3,0.3098749
C22H30O3,0.2057879
C23H32O3,0.1050413
C24H34O3,0.0707427
