Formula,Mono Inty
C13H16O,0.0996486
C14H18O,0.1089408
C15H20O,0.1081336
C17H24O,0.1025246
C11H14O2,0.0854763
C12H16O2,0.2897783
C13H18O2,0.2689934
C14H20O2,0.2983057
C15H22O2,0.2663603
C16H24O2,0.1067156
C17H26O2,0.1183555
C18H28O2,0.1304902
C19H30O2,0.0873431
C20H32O2,0.1522858
C11H12O2,0.1244063
C12H14O2,0.4195894
C13H16O2,0.2993364
C14H18O2,0.3665383
C15H20O2,0.2159247
C16H22O2,0.2187986
C17H24O2,0.2019283
C18H26O2,0.1554451
C19H28O2,0.1263769
C20H30O2,0.6935199
C12H12O2,0.2986695
C13H14O2,0.275863
C14H16O2,0.3464643
C15H18O2,0.3367399
C16H20O2,0.2904962
C17H22O2,0.2266782
C18H24O2,0.2751513
C19H26O2,0.1445802
C20H28O2,0.8798428
C21H30O2,0.0786154
C13H12O2,0.3357718
C14H14O2,0.2919033
C15H16O2,0.2104084
C16H18O2,0.1482166
C17H20O2,0.2297145
C18H22O2,0.2342551
C19H24O2,0.1825387
C20H26O2,0.1903001
C21H28O2,0.1078333
C22H30O2,0.0868402
C13H10O2,0.2701889
C14H12O2,0.2426985
C15H14O2,0.2860934
C16H16O2,0.1385823
C17H18O2,0.1709342
C18H20O2,0.1667918
C19H22O2,0.1226986
C20H24O2,0.0970138
C22H28O2,0.0955511
C13H8O2,0.2631154
C14H10O2,0.3071498
C15H12O2,0.2863296
C16H14O2,0.1828
C17H16O2,0.1674572
C18H18O2,0.0913554
C19H20O2,0.0895744
C14H8O2,0.0861203
C15H10O2,0.266028
C16H12O2,0.1905481
C17H14O2,0.1278099
C18H16O2,0.1472062
C19H18O2,0.0865227
C15H8O2,0.1492179
C16H10O2,0.1500061
C17H12O2,0.1052728
C19H16O2,0.0979128
C10H14O3,0.1272204
C11H16O3,0.3008192
C12H18O3,0.2710396
C13H20O3,0.317799
C14H22O3,0.2656087
C15H24O3,0.2335811
C16H26O3,0.1007132
C18H30O3,0.2167126
C19H32O3,0.0857523
C20H34O3,0.096405
C10H12O3,0.1040666
C11H14O3,0.4131112
C12H16O3,0.4271874
C13H18O3,0.5995694
C14H20O3,0.4543927
C15H22O3,0.5134764
C16H24O3,0.290126
C17H26O3,0.2536111
C18H28O3,0.240423
C19H30O3,0.1818701
C20H32O3,0.2152368
C11H12O3,0.4807465
C12H14O3,0.4885215
C13H16O3,0.6560584
C14H18O3,0.5868071
C15H20O3,0.5952975
C16H22O3,0.4688693
C17H24O3,0.3883069
C18H26O3,0.3977701
C19H28O3,0.3891199
C20H30O3,0.3622763
C21H32O3,0.1560231
C11H10O3,0.6506923
C12H12O3,0.5247329
C13H14O3,0.6355903
C14H16O3,0.4815181
C15H18O3,0.5723609
C16H20O3,0.4652504
C17H22O3,0.4538181
C18H24O3,0.4138925
C19H26O3,0.4469753
C20H28O3,0.5240242
C21H30O3,0.2364888
C22H32O3,0.1514383
C30H48O3,0.6222318
C11H8O3,0.423004
C12H10O3,0.5339197
C13H12O3,0.598821
C14H14O3,0.4683422
C15H16O3,0.5325919
C16H18O3,0.3831322
C17H20O3,0.522415
C18H22O3,0.3802913
C19H24O3,0.4942527
C20H26O3,0.4528702
C21H28O3,0.2816197
C22H30O3,0.1514192
C30H46O3,0.0893805
C12H8O3,0.3800044
C13H10O3,0.4817844
C14H12O3,0.4404347
C15H14O3,0.2923302
C16H16O3,0.3492991
C17H18O3,0.3789458
C18H20O3,0.3638241
C19H22O3,0.4319611
C20H24O3,0.2940078
C21H26O3,0.2836074
C22H28O3,0.1317509
C23H30O3,0.0819197
C12H6O3,0.150452
C13H8O3,0.4855751
C14H10O3,0.6447212
C15H12O3,0.4238627
C16H14O3,0.3137528
C17H16O3,0.291002
C18H18O3,0.2532383
C19H20O3,0.2424063
C20H22O3,0.2488374
C21H24O3,0.1930458
C22H26O3,0.1759308
C23H28O3,0.103028
C14H8O3,0.3404542
C15H10O3,0.3667437
C16H12O3,0.3727897
C17H14O3,0.3024362
C18H16O3,0.2165567
C19H18O3,0.1396877
C20H20O3,0.1687016
C21H22O3,0.1284888
C22H24O3,0.1309896
C15H8O3,0.2234319
C16H10O3,0.3504546
