Formula,Mono Inty
C11H16O2,0.0932031
C12H18O2,0.1229881
C13H20O2,0.1127188
C14H22O2,0.1752227
C15H24O2,0.087632
C16H26O2,0.0921609
C18H30O2,0.2214172
C20H34O2,0.2016656
C12H16O2,0.2010649
C13H18O2,0.190571
C14H20O2,0.2274939
C15H22O2,0.4163461
C16H24O2,0.1499558
C17H26O2,0.1088471
C18H28O2,0.1160013
C19H30O2,0.1147403
C20H32O2,0.88186
C12H14O2,0.289488
C13H16O2,0.2132349
C14H18O2,0.3073912
C15H20O2,0.1967804
C16H22O2,0.2008546
C17H24O2,0.1983726
C18H26O2,0.1933926
C19H28O2,0.1965323
C20H30O2,3.73228
C29H48O2,0.091191
C30H50O2,0.3203046
C12H12O2,0.2127784
C13H14O2,0.1971445
C14H16O2,0.249298
C15H18O2,0.2459118
C16H20O2,0.29193
C17H22O2,0.1958856
C18H24O2,0.3245377
C19H26O2,0.1882798
C20H28O2,6.9592328
C21H30O2,0.1270689
C29H46O2,0.0864247
C30H48O2,0.2331781
C12H10O2,0.1905687
C13H12O2,0.1820034
C14H14O2,0.1887174
C15H16O2,0.1844619
C16H18O2,0.1378224
C17H20O2,0.2119436
C18H22O2,0.2035686
C19H24O2,0.1304588
C20H26O2,0.5162548
C21H28O2,0.1324293
C22H30O2,0.0876916
C30H46O2,2.3163719
C11H6O2,0.0916658
C13H10O2,0.1066649
C14H12O2,0.1477901
C15H14O2,0.2372071
C16H16O2,0.1397966
C17H18O2,0.1222784
C18H20O2,0.1188034
C19H22O2,0.1171439
C20H24O2,0.1001298
C30H44O2,0.0917845
C13H8O2,0.1787256
C14H10O2,0.1706779
C15H12O2,0.2058732
C16H14O2,0.1550887
C17H16O2,0.1311598
C18H18O2,0.0868839
C19H20O2,0.1014203
C15H10O2,0.152849
C16H12O2,0.1111707
C17H14O2,0.0805579
C18H16O2,0.077886
C10H14O3,0.1013034
C11H16O3,0.1871565
C12H18O3,0.2036372
C13H20O3,0.2139094
C14H22O3,0.1553361
C15H24O3,0.2034948
C16H26O3,0.170307
C17H28O3,0.1423495
C18H30O3,1.8779132
C19H32O3,0.1511544
C20H34O3,0.4367668
C10H12O3,0.1143535
C11H14O3,0.2678235
C12H16O3,0.3265146
C13H18O3,0.4549413
C14H20O3,0.3291306
C15H22O3,0.4535802
C16H24O3,0.2763022
C17H26O3,0.3279466
C18H28O3,0.4104064
C19H30O3,0.3899274
C20H32O3,0.854883
C21H34O3,0.1376782
C29H50O3,0.0802938
C30H52O3,0.151224
C35H62O3,0.1904638
C11H12O3,0.3536575
C12H14O3,0.3522028
C13H16O3,0.5112402
C14H18O3,0.4582578
C15H20O3,0.4812137
C16H22O3,0.3571974
C17H24O3,0.356497
C18H26O3,0.4727587
C19H28O3,0.4745198
C20H30O3,1.388024
C21H32O3,0.3714883
C22H34O3,0.1149684
C27H44O3,0.1019653
C29H48O3,0.2592227
C30H50O3,0.3610535
C35H60O3,0.0760098
C11H10O3,0.4221839
C12H12O3,0.3592663
C13H14O3,0.4297006
C14H16O3,0.3672168
C15H18O3,0.3987772
C16H20O3,0.3903065
C17H22O3,0.4645782
C18H24O3,0.4141913
C19H26O3,0.4619934
C20H28O3,2.3316314
C21H30O3,0.287037
C22H32O3,0.1574547
C29H46O3,0.1147667
C30H48O3,8.509079
C11H8O3,0.2560376
C12H10O3,0.342204
C13H12O3,0.4601251
C14H14O3,0.3859133
C15H16O3,0.391296
C16H18O3,0.3514842
C17H20O3,0.4691389
C18H22O3,0.3690784
C19H24O3,0.5326385
C20H26O3,1.2318364
C21H28O3,0.2528198
C22H30O3,0.1742084
C23H32O3,0.0882218
C29H44O3,0.1054407
C30H46O3,1.1655828
C31H48O3,0.0789958
C12H8O3,0.2544859
C13H10O3,0.2833956
C14H12O3,0.3348422
C15H14O3,0.1998072
C16H16O3,0.2984199
C17H18O3,0.3228339
C18H20O3,0.3277022
C19H22O3,0.3739378
C20H24O3,0.2853271
C21H26O3,0.2029787
C22H28O3,0.1246142
C30H44O3,0.2393793
C12H6O3,0.1372361
C13H8O3,0.3014513
C14H10O3,0.4104822
C15H12O3,0.2262761
C16H14O3,0.2546895
C17H16O3,0.2175532
C18H18O3,0.2331071
C19H20O3,0.20937
C20H22O3,0.1859859
C21H24O3,0.1706945
C22H26O3,0.134565
C30H42O3,0.1248271
C14H8O3,0.1833047
C15H10O3,0.2654655
C16H12O3,0.2638633
C17H14O3,0.2273398
C18H16O3,0.1941754
C19H18O3,0.0897425
C20H20O3,0.1329057
C22H24O3,0.1459917
C15H8O3,0.1607402
C16H10O3,0.2512995
C17H12O3,0.2906149
C18H14O3,0.1708025
C19H16O3,0.1108122
C20H18O3,0.1027039
C22H22O3,0.0881918
C16H8O3,0.1147575
C17H10O3,0.1390794
C18H12O3,0.1396409
C19H14O3,0.1433486
C20H16O3,0.112352
C10H18O4,0.1740981
C11H20O4,0.1318921
C12H22O4,0.1105611
C16H30O4,3.4008782
C17H32O4,0.2195017
C18H34O4,5.3504333
C19H36O4,0.1230679
C20H38O4,1.8362544
C21H40O4,0.0835852
C22H42O4,2.2743723
C23H44O4,0.1119954
C24H46O4,0.3187867
C26H50O4,0.1097438
C10H16O4,0.2686906
C11H18O4,0.2107884
C12H20O4,0.181915
C13H22O4,0.1267206
C14H24O4,0.1374096
C15H26O4,0.1672271
