Formula,Mono Inty
C13H16O,0.131375
C15H20O,0.0989596
C16H22O,0.1470199
C18H26O,0.0714933
C13H14O,0.1206796
C14H16O,0.1435516
C15H18O,0.0735283
C16H20O,0.073713
C17H22O,0.086396
C18H24O,0.0758104
C13H12O,0.079359
C15H16O,0.1111417
C16H18O,0.1195704
C18H22O,0.0805868
C15H14O,0.07195
C16H16O,0.1138717
C18H20O,0.0737799
C19H22O,0.0789603
C11H16O2,0.1516239
C12H18O2,0.1316542
C13H20O2,0.1229483
C14H22O2,0.1151565
C11H14O2,0.1475563
C12H16O2,0.2130449
C13H18O2,0.1752713
C14H20O2,0.2963308
C15H22O2,0.3379835
C16H24O2,0.1197497
C17H26O2,0.078465
C18H28O2,0.0924647
C12H14O2,0.2687914
C13H16O2,0.2736088
C14H18O2,0.3555926
C15H20O2,0.1956773
C16H22O2,0.2339064
C17H24O2,0.1507313
C18H26O2,0.1555856
C19H28O2,0.102488
C20H30O2,0.076018
C12H12O2,0.1763646
C13H14O2,0.1851438
C14H16O2,0.2688164
C15H18O2,0.289296
C16H20O2,0.2928066
C17H22O2,0.226564
C18H24O2,0.2220546
C19H26O2,0.157728
C20H28O2,0.1197621
C12H10O2,0.138461
C13H12O2,0.1721735
C14H14O2,0.1388161
C15H16O2,0.1939698
C16H18O2,0.1827468
C17H20O2,0.2084861
C18H22O2,0.1928902
C19H24O2,0.2024771
C20H26O2,0.1306717
C22H30O2,0.0750319
C14H12O2,0.1859948
C15H14O2,0.1983546
C16H16O2,0.1736774
C17H18O2,0.1553025
C18H20O2,0.1578011
C19H22O2,0.1150057
C20H24O2,0.1069776
C21H26O2,0.1002253
C22H28O2,0.0765521
C23H30O2,0.0817116
C14H10O2,0.1179903
C15H12O2,0.1437861
C16H14O2,0.0972159
C17H16O2,0.1001107
C18H18O2,0.0881393
C19H20O2,0.088552
C10H16O3,0.1400651
C11H18O3,0.1242617
C12H20O3,0.1143261
C13H22O3,0.1027767
C14H24O3,0.0757499
C10H14O3,0.2086649
C11H16O3,0.2203302
C12H18O3,0.1951305
C13H20O3,0.2665869
C14H22O3,0.1698709
C15H24O3,0.1745201
C16H26O3,0.0789053
C10H12O3,0.2695712
C11H14O3,0.3179318
C12H16O3,0.3786369
C13H18O3,0.4949529
C14H20O3,0.4002416
C15H22O3,0.4714322
C16H24O3,0.2573715
C17H26O3,0.1687908
C18H28O3,0.163729
C19H30O3,0.1172003
C20H32O3,0.1177629
C10H10O3,0.1656377
C11H12O3,0.2336083
C12H14O3,0.3587068
C13H16O3,0.5388092
C14H18O3,0.4833027
C15H20O3,0.5228342
C16H22O3,0.425221
C17H24O3,0.3588106
C18H26O3,0.3535639
C19H28O3,0.3044078
C20H30O3,0.1297861
C21H32O3,0.0870531
C10H8O3,0.1105129
C11H10O3,0.3315894
C12H12O3,0.3062267
C13H14O3,0.4113771
C14H16O3,0.4015172
C15H18O3,0.541006
C16H20O3,0.4285401
C17H22O3,0.4815112
C18H24O3,0.4393682
C19H26O3,0.4324085
C20H28O3,0.3024496
C21H30O3,0.1506795
C22H32O3,0.1099973
C11H8O3,0.1096504
C12H10O3,0.218381
C13H12O3,0.2889646
C14H14O3,0.3491243
C15H16O3,0.4039957
C16H18O3,0.3737582
C17H20O3,0.5259557
C18H22O3,0.4001631
C19H24O3,0.5122047
C20H26O3,0.3367755
C21H28O3,0.2586383
C22H30O3,0.1438652
C23H32O3,0.1159276
C13H10O3,0.1775396
C14H12O3,0.2205097
C15H14O3,0.1756739
C16H16O3,0.2737783
C17H18O3,0.3144153
C18H20O3,0.3653826
C19H22O3,0.3863783
C20H24O3,0.2975938
C21H26O3,0.2483863
C22H28O3,0.1557429
C23H30O3,0.0968878
C13H8O3,0.1136241
C14H10O3,0.2094725
C15H12O3,0.1435746
C16H14O3,0.201897
C17H16O3,0.1825835
C18H18O3,0.2130177
C19H20O3,0.2216145
C20H22O3,0.1928626
C21H24O3,0.2028879
C22H26O3,0.1653195
C23H28O3,0.1067476
C14H8O3,0.1050517
C15H10O3,0.1610417
C16H12O3,0.0772219
C17H14O3,0.1265444
C18H16O3,0.10144
C19H18O3,0.0937156
