Formula,Mono Inty
C12H16O2,0.1664588
C13H18O2,0.2180305
C14H20O2,0.2800641
C15H22O2,0.2572564
C16H24O2,0.146334
C17H26O2,0.1498974
C12H14O2,0.286867
C13H16O2,0.1899002
C14H18O2,0.383255
C15H20O2,0.2285122
C16H22O2,0.2265984
C17H24O2,0.1990345
C18H26O2,0.1673371
C19H28O2,0.0897162
C12H12O2,0.1842047
C13H14O2,0.2055799
C14H16O2,0.3001007
C15H18O2,0.3007004
C16H20O2,0.3339895
C17H22O2,0.2052743
C18H24O2,0.329928
C19H26O2,0.1754851
C20H28O2,0.2618608
C21H30O2,0.0845967
C10H6O2,0.0975165
C13H12O2,0.3497376
C14H14O2,0.2703297
C15H16O2,0.2300795
C16H18O2,0.193615
C17H20O2,0.2473497
C18H22O2,0.202127
C19H24O2,0.1597743
C20H26O2,0.1818569
C21H28O2,0.1148616
C22H30O2,0.0836123
C13H10O2,0.1865777
C14H12O2,0.2338243
C15H14O2,0.2739292
C16H16O2,0.1688619
C17H18O2,0.1514766
C18H20O2,0.1815185
C19H22O2,0.1533021
C20H24O2,0.1472045
C21H26O2,0.1418149
C22H28O2,0.0848334
C13H8O2,0.2779182
C14H10O2,0.2290149
C15H12O2,0.3079387
C16H14O2,0.1898852
C17H16O2,0.1575049
C18H18O2,0.1594961
C19H20O2,0.1231675
C20H22O2,0.1031967
C21H24O2,0.1131935
C15H10O2,0.2151539
C16H12O2,0.1642665
C17H14O2,0.1314351
C18H16O2,0.0885815
C19H18O2,0.0984549
C20H20O2,0.0760778
C15H8O2,0.1158265
C16H10O2,0.1393434
C17H12O2,0.1412206
C19H16O2,0.0782787
C20H18O2,0.1019249
C10H14O3,0.1016769
C11H16O3,0.0984811
C12H18O3,0.1367699
C13H20O3,0.2203428
C14H22O3,0.1902575
C15H24O3,0.2324314
C16H26O3,0.136465
C17H28O3,0.0786003
C20H34O3,0.0790911
C10H12O3,0.1436334
C11H14O3,0.2970769
C12H16O3,0.2673657
C13H18O3,0.4496751
C14H20O3,0.3539911
C15H22O3,0.4964564
C16H24O3,0.2646123
C17H26O3,0.2737359
C18H28O3,0.209281
C19H30O3,0.2147919
C20H32O3,0.1476074
C11H12O3,0.2537774
C12H14O3,0.2601625
C13H16O3,0.4650128
C14H18O3,0.4406208
C15H20O3,0.5325263
C16H22O3,0.3752411
C17H24O3,0.3718882
C18H26O3,0.4296516
C19H28O3,0.4425357
C20H30O3,0.2341825
C21H32O3,0.1173974
C10H8O3,0.08554
C11H10O3,0.3752058
C12H12O3,0.3863876
C13H14O3,0.4582957
C14H16O3,0.4623929
C15H18O3,0.4898899
C16H20O3,0.4571995
C17H22O3,0.4910571
C18H24O3,0.4876254
C19H26O3,0.4313078
C20H28O3,0.4322131
C21H30O3,0.235647
C22H32O3,0.1884662
C11H8O3,0.2419757
C12H10O3,0.3015737
C13H12O3,0.5096484
C14H14O3,0.4735968
C15H16O3,0.5303763
C16H18O3,0.3803594
C17H20O3,0.5644406
C18H22O3,0.4206409
C19H24O3,0.5333932
C20H26O3,0.4238993
C21H28O3,0.330493
C22H30O3,0.2049661
C23H32O3,0.1060752
C24H34O3,0.0906182
C12H8O3,0.3054417
C13H10O3,0.4213009
C14H12O3,0.388802
C15H14O3,0.2832418
C16H16O3,0.3906237
C17H18O3,0.4416612
C18H20O3,0.4115649
C19H22O3,0.4640357
C20H24O3,0.3672046
C21H26O3,0.2925154
C22H28O3,0.1793535
C23H30O3,0.1360038
C12H6O3,0.1024182
C13H8O3,0.4485999
C14H10O3,0.5722632
C15H12O3,0.3616638
C16H14O3,0.33435
C17H16O3,0.2961962
C18H18O3,0.2952121
C19H20O3,0.3035941
C20H22O3,0.2547173
C21H24O3,0.2125953
C22H26O3,0.1903593
C23H28O3,0.1282428
C14H8O3,0.303471
C15H10O3,0.3756405
C16H12O3,0.3663229
C17H14O3,0.2854337
C18H16O3,0.2448407
C19H18O3,0.1689885
C20H20O3,0.1833428
C21H22O3,0.1361595
C22H24O3,0.2049853
C15H8O3,0.2500693
C16H10O3,0.3812201
C17H12O3,0.3363813
C18H14O3,0.2471083
C19H16O3,0.1876246
C20H18O3,0.1293707
C21H20O3,0.1321353
C22H22O3,0.1174239
C16H8O3,0.0912385
C17H10O3,0.2445549
C18H12O3,0.2029264
C19H14O3,0.2101253
C20H16O3,0.1871066
C21H18O3,0.1122997
C22H20O3,0.0983874
C17H8O3,0.0832671
C18H10O3,0.1101348
C19H12O3,0.183936
C20H14O3,0.1698129
C21H16O3,0.1307353
C22H18O3,0.1191312
C19H10O3,0.0922317
C20H12O3,0.1696355
C21H14O3,0.1115999
C22H16O3,0.1011823
C10H16O4,0.2563958
C11H18O4,0.2171617
C12H20O4,0.1402035
C13H22O4,0.1391955
C14H24O4,0.1521535
C15H26O4,0.1857871
C16H28O4,0.1174757
C17H30O4,0.1124714
C18H32O4,0.0997014
C10H14O4,0.2331556
C11H16O4,0.2833711
C12H18O4,0.4115667
C13H20O4,0.3522684
C14H22O4,0.4321297
C15H24O4,0.6031554
C16H26O4,0.2466524
C17H28O4,0.228702
C18H30O4,0.2110959
C19H32O4,0.1497933
C20H34O4,0.1027595
C10H12O4,0.2566457
C11H14O4,0.2572936
C12H16O4,0.5222169
C13H18O4,0.4554118
C14H20O4,0.5676968
C15H22O4,0.9988457
C16H24O4,0.5209091
C17H26O4,0.4594284
C18H28O4,0.453957
C19H30O4,0.4604558
C20H32O4,0.4082711
C21H34O4,0.1022602
C10H10O4,0.3748615
C11H12O4,0.3925524
C12H14O4,0.570384
C13H16O4,0.5603561
C14H18O4,0.7996075
C15H20O4,0.9246292
C16H22O4,0.8187799
C17H24O4,0.8140622
C18H26O4,0.9394023
C19H28O4,0.7841474
C20H30O4,0.8163813
C21H32O4,0.2529364
C22H34O4,0.1320501
C10H8O4,0.3415914
C11H10O4,0.4500944
C12H12O4,0.6315055
C13H14O4,0.5383975
C14H16O4,0.7012447
C15H18O4,0.8415655
C16H20O4,0.7413536
C17H22O4,1.0542729
C18H24O4,1.1190537
C19H26O4,1.0043658
C20H28O4,1.0279746
C21H30O4,0.5363342
C22H32O4,0.1822501
C23H34O4,0.1323742
C24H36O4,0.0937381
C25H38O4,0.103389
C27H42O4,0.0804524
C10H6O4,0.3061143
C11H8O4,0.4362639
C12H10O4,0.6841224
C13H12O4,0.5041567
C14H14O4,0.6690361
C15H16O4,0.6451051
C16H18O4,0.7105947
C17H20O4,0.7230818
C18H22O4,0.9171845
C19H24O4,0.9864174
C20H26O4,1.0158448
C21H28O4,0.6439744
C22H30O4,0.2476617
C23H32O4,0.2235423
C24H34O4,0.1298693
C25H36O4,0.1290984
C26H38O4,0.0996186
C27H40O4,0.0866037
C28H42O4,0.0802677
C11H6O4,0.2065008
C12H8O4,0.5037798
C13H10O4,0.6253802
C14H12O4,0.647807
C15H14O4,0.5700417
C16H16O4,0.7762509
C17H18O4,0.5981494
C18H20O4,0.7799484
C19H22O4,0.7811912
C20H24O4,0.8007648
C21H26O4,0.578871
C22H28O4,0.2951161
C23H30O4,0.2070383
C24H32O4,0.1627233
C25H34O4,0.1147844
C26H36O4,0.1313882
C27H38O4,0.1093501
C28H40O4,0.0808947
C12H6O4,0.2910252
C13H8O4,0.5143051
C14H10O4,0.4611017
C15H12O4,0.6231128
C16H14O4,0.6638224
C17H16O4,0.616026
C18H18O4,0.7090381
C19H20O4,0.5513217
C20H22O4,0.6057511
C21H24O4,0.3608754
C22H26O4,0.3058208
C23H28O4,0.1423875
C24H30O4,0.1522937
C25H32O4,0.0929116
C26H34O4,0.1116403
C27H36O4,0.1185115
C28H38O4,0.0973549
C29H40O4,0.0834007
C13H6O4,0.140626
C14H8O4,0.449237
C15H10O4,0.6573661
C16H12O4,0.6105351
C17H14O4,0.4948477
C18H16O4,0.4691849
C19H18O4,0.3873056
C20H20O4,0.3853231
C21H22O4,0.3419248
C22H24O4,0.2160181
C23H26O4,0.1006145
C24H28O4,0.1244764
C25H30O4,0.1042423
C26H32O4,0.0776451
C14H6O4,0.1197414
C15H8O4,0.4228554
C16H10O4,0.6123863
C17H12O4,0.5241542
C18H14O4,0.4029222
C19H16O4,0.3653855
C20H18O4,0.2853306
C21H20O4,0.3317127
C22H22O4,0.131649
C24H26O4,0.0773521
C25H28O4,0.0980222
C26H30O4,0.0960902
C15H6O4,0.0884004
C16H8O4,0.3016765
C17H10O4,0.4728451
C18H12O4,0.5039997
C19H14O4,0.4116026
C20H16O4,0.2873343
C21H18O4,0.2758256
C22H20O4,0.154112
C23H22O4,0.1121501
C16H6O4,0.0797527
C17H8O4,0.1554276
C18H10O4,0.376552
C19H12O4,0.4006123
C20H14O4,0.3405411
C21H16O4,0.2589926
C22H18O4,0.1653013
C23H20O4,0.0999106
C26H26O4,0.077782
C18H8O4,0.1221158
C19H10O4,0.2399673
C20H12O4,0.2693563
C21H14O4,0.2382732
C22H16O4,0.171315
C23H18O4,0.082527
C19H8O4,0.0753674
C20H10O4,0.185815
C21H12O4,0.2775823
C22H14O4,0.1468998
C21H10O4,0.1372996
C22H12O4,0.1296509
C23H14O4,0.1062027
C24H16O4,0.078937
C25H18O4,0.0772091
C29H18O4,0.0817089
C30H20O4,0.0768693
C31H22O4,0.0866731
C32H24O4,0.1196042
C33H26O4,0.1032417
C31H20O4,0.0824614
C32H22O4,0.1118473
C33H24O4,0.0910661
C34H26O4,0.0840507
C10H16O5,0.5319738
C11H18O5,0.3595483
C12H20O5,0.341004
C13H22O5,0.2002526
C14H24O5,0.2771883
C15H26O5,0.2790257
C16H28O5,0.2084576
C17H30O5,0.1513611
C18H32O5,0.1258259
C19H34O5,0.0984458
C10H14O5,0.4305717
C11H16O5,0.4314166
C12H18O5,0.3890612
C13H20O5,0.6031075
C14H22O5,0.7208438
C15H24O5,0.946541
C16H26O5,0.6284442
C17H28O5,0.4673647
C18H30O5,0.3736302
C19H32O5,0.2223312
C20H34O5,0.2099072
C10H12O5,0.3587236
C11H14O5,0.517898
C12H16O5,0.5709831
C13H18O5,0.8233132
C14H20O5,1.1233245
C15H22O5,1.4886434
C16H24O5,1.0027591
C17H26O5,0.9128555
