Formula,Mono Inty
C15H20O,0.1040797
C16H22O,0.1262925
C17H24O,0.0897256
C18H26O,0.081711
C19H28O,0.1063666
C14H16O,0.0961625
C15H18O,0.0870846
C16H20O,0.0979352
C17H22O,0.0851183
C19H26O,0.0866279
C16H18O,0.1007545
C17H20O,0.0830291
C18H22O,0.0827285
C19H24O,0.0776681
C12H24O2,0.09066
C14H28O2,0.1414404
C15H30O2,0.0904267
C16H32O2,2.1635907
C17H34O2,0.3009479
C18H36O2,4.7883697
C19H38O2,0.0815993
C20H40O2,0.5036547
C22H44O2,0.6756237
C24H48O2,0.1245113
C16H30O2,0.108157
C17H32O2,0.1581042
C18H34O2,2.4960048
C20H38O2,0.1136725
C12H18O2,0.1017478
C13H20O2,0.1435846
C14H22O2,0.0922966
C17H28O2,0.0804629
C18H30O2,0.1575253
C20H34O2,0.1226767
C13H18O2,0.1607037
C14H20O2,0.2767769
C15H22O2,0.3610227
C16H24O2,0.1489007
C17H26O2,0.1251695
C19H30O2,0.1006489
C20H32O2,0.6756977
C13H16O2,0.247118
C14H18O2,0.3473084
C15H20O2,0.1591796
C16H22O2,0.2382118
C17H24O2,0.156149
C18H26O2,0.1682159
C19H28O2,0.1363534
C20H30O2,2.6931055
C30H50O2,0.4316778
C13H14O2,0.208794
C14H16O2,0.2809685
C15H18O2,0.2802413
C16H20O2,0.290418
C17H22O2,0.2152305
C18H24O2,0.2565925
C19H26O2,0.138397
C20H28O2,5.645329
C21H30O2,0.1011315
C30H48O2,0.1699017
C13H12O2,0.2362998
C14H14O2,0.2388922
C15H16O2,0.1909976
C16H18O2,0.162579
C17H20O2,0.2247229
C18H22O2,0.2256953
C19H24O2,0.2103793
C20H26O2,0.4235162
C21H28O2,0.088257
C30H46O2,1.7568444
C13H10O2,0.1296457
C14H12O2,0.1580998
C15H14O2,0.2693083
C16H16O2,0.1876203
C17H18O2,0.1395642
C18H20O2,0.1537468
C19H22O2,0.1357946
C20H24O2,0.1062321
C21H26O2,0.0915162
C13H8O2,0.1416612
C14H10O2,0.2303771
C15H12O2,0.2225638
C16H14O2,0.162579
C17H16O2,0.1182417
C19H20O2,0.0950059
C15H10O2,0.0947859
C16H12O2,0.1411675
C17H14O2,0.1012955
C18H16O2,0.0855401
C19H18O2,0.0765041
C11H16O3,0.1710175
C12H18O3,0.1626151
C13H20O3,0.2469471
C14H22O3,0.1702476
C15H24O3,0.1645797
C16H26O3,0.1083599
C18H30O3,1.2282989
C19H32O3,0.0803778
C20H34O3,0.2786832
C11H14O3,0.3093382
C12H16O3,0.2771668
C13H18O3,0.4274605
C14H20O3,0.3623836
C15H22O3,0.4730827
C16H24O3,0.2260001
C17H26O3,0.2718188
C18H28O3,0.294913
C19H30O3,0.3476824
C20H32O3,0.6922162
C28H48O3,0.0863596
C30H52O3,0.1352186
C35H62O3,0.0946077
C12H14O3,0.3450272
C13H16O3,0.5088269
C14H18O3,0.4886203
C15H20O3,0.4360775
C16H22O3,0.3656321
C17H24O3,0.3743629
C18H26O3,0.3998029
C19H28O3,0.3590373
C20H30O3,0.8677483
C21H32O3,0.2933749
C27H44O3,0.0907378
C29H48O3,0.1986926
C30H50O3,0.2432273
C12H12O3,0.395952
C13H14O3,0.4614539
C14H16O3,0.3821682
C15H18O3,0.4698259
C16H20O3,0.4264573
C17H22O3,0.4867975
C18H24O3,0.4085774
C19H26O3,0.4289789
C20H28O3,1.5189184
C21H30O3,0.2559203
C22H32O3,0.140609
C29H46O3,0.0809328
C30H48O3,6.0348282
C12H10O3,0.3349127
C13H12O3,0.4309839
C14H14O3,0.4496067
C15H16O3,0.4208398
C16H18O3,0.356877
